Card Number,Card Name,Level,Rank,Link,Card Text,Status,Card Type,Pendulum Effect,Pendulum Scale,Attribute,Monster Type,ATK,DEF
5518,A Man with Wdjat,4.0,,,"When you Normal Summon this card, and during each of your Standby Phases, select 1 Set card on your opponent's side of the field. Pick it up and look at it, then return it to its original position.",Unlimited,Effect Monster,,,DARK,Spellcaster,1600.0,1600.0
6443,A Rival Appears!,,,,Select 1 face-up monster your opponent controls. Special Summon 1 monster from your hand that has the same Level as the selected monster.,Unlimited,Normal Trap,,,,,,
11584,A Wild Monster Appears!,,,,"If your opponent controls a monster and you control no monsters: Special Summon from your hand, 1 monster with an original Level of 10 or lower that cannot be Normal Summoned/Set, ignoring its Summoning conditions. It is unaffected by the effects of your cards, except for its own effects and this card's, also shuffle it into the Deck during your opponent's next End Phase. For the rest of this turn, you cannot Normal Summon/Set or Special Summon monsters, and your opponent takes no damage.",Unlimited,Normal Spell,,,,,,
5343,A Wingbeat of Giant Dragon,,,,"Return 1 Level 5 or higher Dragon-Type monster you control to the hand, and if you do, destroy all Spell and Trap Cards on the field.",Unlimited,Normal Spell,,,,,,
12582,A-Assault Core,4.0,,,"Once per turn, you can either: Target 1 LIGHT Machine monster you control; equip this card to that target, OR: Unequip this card and Special Summon it. A monster equipped with this card is unaffected by your opponent's monster effects (except its own), also if the equipped monster would be destroyed by battle or card effect, destroy this card instead. If this card is sent from the field to the GY: You can add 1 other Union monster from your GY to your hand.",Unlimited,Union / Effect Monster,,,LIGHT,Machine,1900.0,200.0
6202,A-Team: Trap Disposal Unit,2.0,,,"This effect can be used during either player's turn. When your opponent activates a Trap Card, Tribute this face-up card to negate the activation of the Trap Card and destroy it.",Unlimited,Effect Monster,,,FIRE,Machine,300.0,400.0
12589,A-to-Z-Dragon Buster Cannon,10.0,,,"""ABC-Dragon Buster"" + ""XYZ-Dragon Cannon""Must be Special Summoned (from your Extra Deck) by banishing cards you control with the above original names, and cannot be Special Summoned by other ways. (You do not use ""Polymerization"".) During either player's turn, when your opponent activates a Spell/Trap Card, or monster effect: You can discard 1 card; negate the activation, and if you do, destroy that card. During either player's turn: You can banish this card, then target 1 each of your banished ""ABC-Dragon Buster"", and ""XYZ-Dragon Cannon""; Special Summon them.",Unlimited,Fusion / Effect Monster,,,LIGHT,Machine,4000.0,4000.0
15042,A.I. Contact,,,,"If ""Ignister A.I.Land"" is in your Field Zone: Reveal 1 ""Ignister A.I.Land"" in your hand; place it on the bottom of the Deck, and if you do, draw 3 cards. You can only activate 1 ""A.I. Contact"" per turn.",Unlimited,Normal Spell,,,,,,
14862,A.I. Love Fusion,,,,"Fusion Summon 1 Cyberse Fusion Monster from your Extra Deck, using monsters from your hand or field as Fusion Material. If you use your ""@Ignister"" monster as Fusion Material, you can also use 1 Link Monster your opponent controls as material. You can only activate 1 ""A.I. Love Fusion"" per turn.",Unlimited,Normal Spell,,,,,,
14878,A.I. Shadow,,,,"Activate this card by targeting 1 ""@Ignister"" monster you control. That monster gains 800 ATK, also all monsters your opponent controls must attack that monster you control, if able. If this face-up card in its owner's Spell & Trap Zone has left the field because of an opponent's effect, and is now in the GY or banished: Draw 1 card. You can only use this effect of ""A.I. Shadow"" once per turn.",Unlimited,Continuous Trap,,,,,,
14863,A.I.'s Ritual,,,,"This card can be used to Ritual Summon any Cyberse Ritual Monster. You must also Tribute ""@Ignister"" monsters from your hand or field whose total Levels equal or exceed the Level of the Ritual Monster you Ritual Summon. If you control an ""@Ignister"" monster when this effect is activated, you can also use ""@Ignister"" monster(s) in your GY, by banishing them.",Unlimited,Ritual Spell,,,,,,
15059,A.I.Q,,,,"Activate only if you control an ""@Ignister"" monster. Once per turn, during your Standby Phase, Tribute 1 Link Monster, or destroy this card. Each player can only Link Summon a monster once per turn while this card is face-up on the field.",Unlimited,Continuous Trap,,,,,,
14861,A.I.dle Reborn,,,,"Target 1 ""@Ignister"" monster in your GY; Special Summon it, also you cannot Special Summon monsters for the rest of this turn after this card resolves, except Cyberse monsters. When an attack is declared involving 2 monsters: You can banish this card from your GY and 1 card from your hand, then target 1 of your ""A.I."" Spells/Traps that is banished or in your GY, except ""A.I.dle Reborn""; add that card to your hand. You can only use each effect of ""A.I.dle Reborn"" once per turn.",Unlimited,Quick-Play Spell,,,,,,
8936,A/D Changer,1.0,,,"You can banish this card from your Graveyard, then target 1 monster on the field; change its battle position.",Unlimited,Effect Monster,,,LIGHT,Warrior,100.0,100.0
12590,ABC-Dragon Buster,8.0,,,"""A-Assault Core"" + ""B-Buster Drake"" + ""C-Crush Wyvern""Must first be Special Summoned (from your Extra Deck) by banishing the above cards you control and/or from your GY. (You do not use ""Polymerization"".) Once per turn (Quick Effect): You can discard 1 card, then target 1 card on the field; banish it. During your opponent's turn (Quick Effect): You can Tribute this card, then target 3 of your banished LIGHT Machine Union monsters with different names; Special Summon them.",Limited,Fusion / Effect Monster,,,LIGHT,Machine,3000.0,2800.0
6937,Abaki,4.0,,,"When this card is destroyed and sent to the Graveyard by battle, both players take 500 damage.",Unlimited,Effect Monster,,,FIRE,Fiend,1700.0,1100.0
6255,Abare Ushioni,4.0,,,"Once per turn, you can toss a coin and call it. If you call it right, inflict 1000 damage to your opponent. If you call it wrong, you take 1000 damage.",Unlimited,Effect Monster,,,EARTH,Beast-Warrior,1200.0,1200.0
14697,Abominable Chamber of the Unchained,,,,"Special Summon 1 ""Unchained"" monster from your hand or GY. If this Set card is destroyed by card effect: You can Special Summon 1 ""Unchained"" monster from your Deck. You can only use each effect of ""Abominable Chamber of the Unchained"" once per turn.",Unlimited,Normal Trap,,,,,,
14828,Abominable Unchained Soul,8.0,,,"You can only Special Summon ""Abominable Unchained Soul(s)"" once per turn. If a card(s) you control is destroyed by battle or card effect: You can Special Summon this card from your hand. If this card is Special Summoned: You can discard 1 card; destroy 1 card on the field. Once per turn, during the End Phase, if this card is in the GY because it was destroyed on the field and sent there this turn: You can Special Summon this card, but place it on the bottom of the Deck when it leaves the field.",Unlimited,Effect Monster,,,DARK,Fiend,3000.0,1500.0
14681,Abomination's Prison,,,,"Add 1 ""Unchained"" card from your Deck to your hand. If this Set card is destroyed by card effect: You can Special Summon 1 ""Unchained"" monster from your Deck. You can only use each effect of ""Abomination's Prison"" once per turn.",Unlimited,Normal Spell,,,,,,
9653,Absolute Crusader,4.0,,,If a Level 5 or higher monster(s) is Special Summoned: Tribute this face-up card; destroy that Level 5 or higher monster(s).,Unlimited,Effect Monster,,,EARTH,Warrior,1800.0,1200.0
6141,Absolute End,,,,"Activate only during your opponent's turn. This turn, the attacks from your opponent's monsters become direct attacks.",Unlimited,Normal Trap,,,,,,
11642,Absolute King Back Jack,1.0,,,"During your opponent's turn (Quick Effect): You can banish this card from the GY; excavate the top card of your Deck, and if it is a Normal Trap, Set it to your field. Otherwise, send it to the GY. That Set card can be activated during this turn. If this card is sent to the GY: You can look at 3 cards from the top of your Deck, then place them on the top of the Deck in any order. You can only use each effect of ""Absolute King Back Jack"" once per turn.",Unlimited,Effect Monster,,,DARK,Fiend,0.0,0.0
11453,Absorb Fusion,,,,"Add 1 ""Gem-Knight"" card from your Deck to your hand, then you can apply this effect.●Fusion Summon 1 ""Gem-Knight"" Fusion Monster from your Extra Deck, by banishing Fusion Materials listed on it from your hand or your side of the field.You can only activate 1 ""Absorb Fusion"" per turn. You cannot Special Summon monsters the turn you activate this card, except ""Gem-Knight"" monsters.",Unlimited,Normal Spell,,,,,,
10060,Absorbing Jar,3.0,,,"FLIP: Destroy all Set Spell/Trap Cards on the field, then each player draws 1 card for each of the cards they controlled that was destroyed by this effect. You cannot Set any cards this turn.",Unlimited,Effect Monster,,,EARTH,Rock,600.0,500.0
6034,Absorbing Kid from the Sky,4.0,,,"When this card destroys a monster and sends it to the Graveyard as a result of battle, increase your Life Points by the Level of the destroyed monster x 300 points.",Unlimited,Effect Monster,,,LIGHT,Fairy,1300.0,1000.0
14618,Absorouter Dragon,7.0,,,"If you control a ""Rokket"" monster, you can Special Summon this card (from your hand). You can only Special Summon ""Absorouter Dragon"" once per turn this way. If this card is sent to the GY: You can add 1 ""Rokket"" monster from your Deck to your hand. You can only use this effect of ""Absorouter Dragon"" once per turn.",Unlimited,Effect Monster,,,DARK,Dragon,1200.0,2800.0
13863,Abyss Actor - Comic Relief,3.0,,,"You take no battle damage from attacks involving this card. Once per turn, during your Standby Phase: Give control of this card to your opponent. Once per turn, if control of this face-up card changes: Activate this effect; the owner of this card can destroy 1 Set ""Abyss Script"" Spell in their Spell & Trap Zone.",Unlimited,Pendulum / Effect Monster,"You can target 1 ""Abyss Actor"" Pendulum Monster you control and 1 monster your opponent controls; switch control of both monsters, then destroy this card. You can only use this effect of ""Abyss Actor - Comic Relief"" once per turn.",8.0,DARK,Fiend,1000.0,2000.0
13137,Abyss Actor - Curtain Raiser,4.0,,,"Gains 1100 ATK if you control no other monsters. Once per turn: You can send 1 ""Abyss Script"" Spell from your Deck to the GY; add 1 face-up ""Abyss Actor"" Pendulum Monster from your Extra Deck to your hand.",Unlimited,Pendulum / Effect Monster,"If you control no monsters: You can Special Summon this card from your Pendulum Zone. You can only use this effect of ""Abyss Actor - Curtain Raiser"" once per Duel.",7.0,DARK,Fiend,1100.0,1000.0
12710,Abyss Actor - Evil Heel,8.0,,,"If this card is Normal or Special Summoned: You can target 1 face-up monster your opponent controls; it loses 1000 ATK for each ""Abyss Actor"" monster you currently control, until the end of this turn. When this card destroys an opponent's monster by battle: You can target 1 ""Abyss Script"" Spell Card in your Graveyard; Set that card.",Unlimited,Pendulum / Effect Monster,"Once per turn: You can Tribute 1 ""Abyss Actor"" monster, then target 1 face-up monster your opponent controls; it loses ATK equal to the original ATK of the Tributed monster, until the end of this turn (even if this card leaves the field).",1.0,DARK,Fiend,3000.0,2000.0
12714,Abyss Actor - Extras,1.0,,,"You can Tribute this card; place 1 ""Abyss Actor"" Pendulum Monster from your Deck in your Pendulum Zone, also for the rest of this turn, you cannot Special Summon monsters, except ""Abyss Actor"" monsters, nor activate the Pendulum Effect of ""Abyss Actor - Extras"". You can only use this effect of ""Abyss Actor - Extras"" once per turn.",Unlimited,Pendulum / Effect Monster,"If your opponent controls a monster: You can Special Summon this card from your Pendulum Zone. You can only use this effect of ""Abyss Actor - Extras"" once per turn.",3.0,DARK,Fiend,100.0,100.0
12711,Abyss Actor - Funky Comedian,1.0,,,"If this card is Normal or Special Summoned: You can make this card gain 300 ATK for each ""Abyss Actor"" monster you currently control, until the end of this turn. You can target 1 other ""Abyss Actor"" monster you control; it gains ATK equal to this card's current ATK, until the end of this turn. This card cannot attack the turn this effect is activated. You can only use this effect of ""Abyss Actor - Funky Comedian"" once per turn.",Unlimited,Pendulum / Effect Monster,"Once per turn: You can Tribute 1 ""Abyss Actor"" monster, then target 1 ""Abyss Actor"" monster you control; it gains ATK equal to the original ATK of the Tributed monster, until the end of this turn (even if this card leaves the field).",8.0,DARK,Fiend,300.0,200.0
14945,Abyss Actor - Hyper Director,,,1.0,"1 ""Abyss Actor"" Pendulum MonsterYou can target 1 card in your Pendulum Zone; Special Summon it, then place 1 ""Abyss Actor"" Pendulum Monster with a different name, from your Deck or face-up Extra Deck, to your Pendulum Zone, also you cannot Normal or Special Summon monsters for the rest of this turn, except ""Abyss Actor"" monsters. You can only use this effect of ""Abyss Actor - Hyper Director"" once per turn.",Unlimited,Link / Effect Monster,,,DARK,Fiend,800.0,
12715,Abyss Actor - Leading Lady,4.0,,,"Once per turn, when battle damage is inflicted: You can target 1 face-up monster your opponent controls; it loses ATK equal to that battle damage. When this card is destroyed by battle, or if this card in its owner's Monster Zone is destroyed by an opponent's card effect: You can Set 1 ""Abyss Script"" Spell directly from your Deck.",Unlimited,Pendulum / Effect Monster,"Once per turn, when you take battle damage from an opponent's attacking monster: You can activate 1 of these effects;●That opponent's monster loses ATK equal to the damage you took (even if this card leaves the field).●Add 1 face-up ""Abyss Actor"" Pendulum Monster from your Extra Deck to your hand with ATK less than or equal to the damage you took.",2.0,DARK,Fiend,1500.0,1000.0
13862,Abyss Actor - Mellow Madonna,7.0,,,"Gains 100 ATK for each ""Abyss Script"" Spell in your GY. You can only use each of the following effects of ""Abyss Actor - Mellow Madonna"" once per turn.●When a Pendulum Monster you control is destroyed by battle: You can Special Summon this card from your hand.●If an ""Abyss Script"" Spell Card or effect is activated: You can Special Summon 1 Level 4 or lower ""Abyss Actor"" Pendulum Monster from your Deck, but return it to the hand during the End Phase.",Unlimited,Pendulum / Effect Monster,"You can pay 1000 LP; add 1 ""Abyss Actor"" Pendulum Monster from your Deck to your hand, except ""Abyss Actor - Mellow Madonna"", also you cannot Special Summon monsters for the rest of this turn, except ""Abyss Actor"" Pendulum Monsters (even if this card leaves the field). You can only use this effect of ""Abyss Actor - Mellow Madonna"" once per turn.",0.0,DARK,Fiend,1800.0,2500.0
12713,Abyss Actor - Sassy Rookie,4.0,,,"The first time this card would be destroyed by battle or card effect each turn, it is not destroyed. If this card is destroyed by battle, or if this card in its owner's Monster Zone is destroyed by an opponent's card effect: You can Special Summon 1 Level 4 or lower ""Abyss Actor"" monster from your Deck, except ""Abyss Actor - Sassy Rookie"". If this card in the Pendulum Zone is destroyed: You can target 1 Level 4 or lower monster your opponent controls; destroy it.",Unlimited,Pendulum / Effect Monster,"If an ""Abyss Actor"" monster(s) you control would be destroyed by battle or an opponent's card effect, you can destroy this card instead.",2.0,DARK,Fiend,1700.0,1000.0
12712,Abyss Actor - Superstar,7.0,,,"When Normal or Special Summoned, your opponent's Spell/Trap Cards and effects cannot be activated. Once per turn: You can Set 1 ""Abyss Script"" Spell directly from your Deck, but it is sent to the GY during the End Phase.",Unlimited,Pendulum / Effect Monster,"Once per turn: You can Tribute 1 ""Abyss Actor"" monster, then target 1 ""Abyss Script"" Spell in your GY; add it to your hand.",3.0,DARK,Fiend,2500.0,1800.0
12697,Abyss Actor - Trendy Understudy,2.0,,,"If you have 2 ""Abyss Actor"" cards in your Pendulum Zones: You can Tribute this card; Special Summon 1 Level 1 or 8 ""Abyss Actor"" Pendulum Monster from your hand or face-up from your Extra Deck. You can only use this effect of ""Abyss Actor - Trendy Understudy"" once per turn.",Unlimited,Pendulum / Effect Monster,"When you Pendulum Summon a monster: You can add 1 face-up Level 1 or 8 ""Abyss Actor"" Pendulum Monster from your Extra Deck to your hand.",8.0,DARK,Fiend,700.0,700.0
12716,Abyss Actor - Wild Hope,4.0,,,"Once per turn: You can make this card gain 100 ATK for each ""Abyss Actor"" monster you currently control with different names, until the end of this turn. If this card is destroyed by battle or card effect: You can add 1 ""Abyss Actor"" card from your Deck to your hand, except ""Abyss Actor - Wild Hope"". You can only use this effect of ""Abyss Actor - Wild Hope"" once per turn.",Unlimited,Pendulum / Effect Monster,"Once per turn: You can target 1 ""Abyss Actor"" card in your other Pendulum Zone; its Pendulum Scale becomes 9 until the end of this turn, also you cannot Special Summon monsters for the rest of this turn, except ""Abyss Actor"" monsters (even if this card leaves the field).",2.0,DARK,Fiend,1600.0,1200.0
12722,Abyss Actors Back Stage,,,,"If you have 2 ""Abyss Actor"" cards in your Pendulum Zones: Add 2 ""Abyss Actor"" Pendulum Monsters with different names from your Deck to your Extra Deck face-up. You can only activate 1 ""Abyss Actors Back Stage"" per turn.",Unlimited,Normal Trap,,,,,,
13866,Abyss Actors' Curtain Call,,,,"If an ""Abyss Script"" Spell Card or effect is activated this turn: Add face-up ""Abyss Actor"" Pendulum Monsters from your Extra Deck to your hand, up to the number of ""Abyss Script"" Spells in your GY. Then, you can Special Summon ""Abyss Actor"" Pendulum Monsters from your hand with different names, up to the number of monsters added to the hand by this effect. You cannot Special Summon monsters for the rest of this turn, except ""Abyss Actor"" Pendulum Monsters. You can only activate 1 ""Abyss Actors' Curtain Call"" per turn.",Unlimited,Normal Trap,,,,,,
10354,Abyss Dweller,,4.0,,"2 Level 4 monstersWhile this card has a material attached that was originally WATER, all WATER monsters you control gain 500 ATK. Once per turn (Quick Effect): You can detach 1 material from this card; your opponent cannot activate any card effects in their GY this turn.",Unlimited,Xyz / Effect Monster,,,WATER,Sea Serpent,1700.0,1400.0
13865,Abyss Playhouse - Fantastic Theater,,,,"You can reveal 1 ""Abyss Actor"" Pendulum Monster and 1 ""Abyss Script"" Spell in your hand; add 1 ""Abyss Script"" Spell from your Deck to your hand, with a different name than that revealed Spell. While you control a Pendulum Summoned ""Abyss Actor"" Pendulum Monster, any monster effect activated by your opponent becomes ""Destroy 1 Set Spell/Trap your opponent controls"". You can only use each effect of ""Abyss Playhouse - Fantastic Theater"" once per turn.",Unlimited,Field Spell,,,,,,
12720,Abyss Prop - Wild Wagon,,,,"The first time each ""Abyss Actor"" monster you control would be destroyed by battle each turn, it is not destroyed. Once per turn: You can target 1 ""Abyss Actor"" monster you control; your opponent cannot target it with card effects until the end of their turn (even if this card leaves the field). If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can return all cards your opponent controls to the hand.",Unlimited,Continuous Spell,,,,,,
13138,Abyss Script - Abysstainment,,,,"You can Tribute 1 ""Abyss Actor"" monster, then target 1 ""Abyss Script"" Spell in your GY; Set it to your field. You can use this effect of ""Abyss Script - Abysstainment"" up to twice per turn. If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can Special Summon any number of ""Abyss Actor"" Pendulum Monsters from your Deck.",Unlimited,Continuous Spell,,,,,,
12717,Abyss Script - Fantasy Magic,,,,"Target 1 ""Abyss Actor"" monster you control; this turn, every monster that battles it, but is not destroyed, returns to the hand at the end of the Damage Step. If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can target 1 card your opponent controls; place it on top of the Deck.",Unlimited,Normal Spell,,,,,,
12719,Abyss Script - Fire Dragon's Lair,,,,"Target 1 ""Abyss Actor"" monster you control; if it destroys your opponent's monster by battle this turn, your opponent banishes 3 monsters from their Extra Deck (their choice). If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can look at your opponent's Extra Deck, also banish 1 monster from their Extra Deck. You can only use this effect of ""Abyss Script - Fire Dragon's Lair"" once per turn.",Unlimited,Normal Spell,,,,,,
12718,Abyss Script - Opening Ceremony,,,,"Gain 500 LP for each ""Abyss Actor"" monster you control. If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can draw until you have 5 cards in your hand. You can only use each effect of ""Abyss Script - Opening Ceremony"" once per turn.",Unlimited,Normal Spell,,,,,,
12721,Abyss Script - Rise of the Abyss King,,,,"Target face-up cards on the field, up to the number of Attack Position ""Abyss Actor"" monsters with different names you control; destroy them. If you control a Level 7 or higher ""Abyss Actor"" monster, your opponent cannot activate cards or effects in response to this card's activation. If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can add up to 2 ""Abyss Actor"" cards and/or ""Abyss Script"" Spells with different names from your Deck to your hand.",Unlimited,Normal Spell,,,,,,
13864,Abyss Script - Romantic Terror,,,,"Return 1 ""Abyss Actor"" Pendulum Monster you control to the hand, and if you do, Special Summon from your Extra Deck in Defense Position, 1 face-up ""Abyss Actor"" Pendulum Monster with a different original name from that monster. If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can Set any number of ""Abyss Script"" Spells directly from your Deck. You can only activate 1 ""Abyss Script - Romantic Terror"" per turn.",Unlimited,Quick-Play Spell,,,,,,
5927,Abyss Soldier,4.0,,,Once per turn: You can discard 1 WATER monster to the Graveyard to target 1 card on the field; return it to the hand.,Unlimited,Effect Monster,,,WATER,Aqua,1800.0,1300.0
11752,Abyss Stungray,,,,"Special Summon this card as an Effect Monster (Thunder-Type/LIGHT/Level 5/ATK 1900/DEF 0). (This card is also still a Trap Card.) If Summoned this way, this card cannot be destroyed by battle.",Unlimited,Continuous Trap,,,,,,
10250,Abyss Warrior,4.0,,,"Once per turn: You can discard 1 WATER monster to the Graveyard, then target 1 monster in either player's Graveyard; return that target to either the top or bottom of the Deck.",Unlimited,Effect Monster,,,WATER,Aqua,1800.0,1800.0
10420,Abyss-scale of Cetus,,,,"Equip only to a ""Mermail"" monster. It gains 800 ATK. When a Trap effect that was activated on your opponent's side of the field resolves, negate that effect, then send this card to the Graveyard.",Unlimited,Equip Spell,,,,,,
10278,Abyss-scale of the Kraken,,,,"Equip only to a ""Mermail"" monster. It gains 400 ATK. When a monster effect that was activated on your opponent's side of the field resolves, negate that effect, then send this card to the Graveyard.",Unlimited,Equip Spell,,,,,,
10545,Abyss-scale of the Mizuchi,,,,"Equip only to a ""Mermail"" monster. It gains 800 ATK. When a Spell effect that was activated on your opponent's side of the field resolves, negate that effect, then send this card to the Graveyard.",Unlimited,Equip Spell,,,,,,
10434,Abyss-scorn,,,,"Target 1 ""Mermail"" monster you control; it gains 1000 ATK until the End Phase. When this Set card is sent to the Graveyard: Target 1 monster your opponent controls; send that target to the Graveyard.",Unlimited,Normal Trap,,,,,,
10294,Abyss-sphere,,,,"Special Summon 1 ""Mermail"" monster from your Deck. Its effects are negated. You cannot activate any Spell Cards. When this card leaves the field, destroy that monster. Destroy this card during your opponent's next End Phase after activation.",Unlimited,Continuous Trap,,,,,,
10293,Abyss-squall,,,,"Target 3 ""Mermail"" monsters in your Graveyard; Special Summon those targets in face-up Defense Position. Their effects are negated and they cannot declare an attack. Destroy them during the End Phase.",Unlimited,Normal Trap,,,,,,
10295,Abyss-strom,,,,"Send 1 face-up ""Umi"" you control to the Graveyard; send all Spell and Trap Cards on the field to the Graveyard.",Unlimited,Normal Trap,,,,,,
6132,Abyssal Designator,,,,Pay 1000 Life Points. Declare a Type and an Attribute. Your opponent must send 1 monster with both the declared Type and Attribute from their hand or Deck to the Graveyard.,Unlimited,Normal Spell,,,,,,
7336,Abyssal Kingshark,4.0,,,"Once per turn, if this card would be destroyed by an effect that does not target it, it is not destroyed.",Unlimited,Effect Monster,,,WATER,Fish,1700.0,600.0
11629,Accel Synchron,5.0,,,"1 Tuner + 1+ non-Tuner monstersOnce per turn: You can send 1 ""Synchron"" monster from your Deck to the GY, then activate 1 of these effects;●Increase this card's Level by the Level of the sent monster.●Reduce this card's Level by the Level of the sent monster.During your opponent's Main Phase, you can (Quick Effect): Immediately after this effect resolves, Synchro Summon using this card you control. You can only Synchro Summon ""Accel Synchron"" once per turn.",Unlimited,Synchro / Tuner / Effect Monster,,,DARK,Machine,500.0,2100.0
10342,Accellight,,,,"If you control no monsters: Special Summon 1 Level 4 or lower ""Photon"" or ""Galaxy"" monster from your Deck. You can only activate 1 ""Accellight"" per turn. You cannot Normal Summon/Set during the turn you activate this card.",Unlimited,Normal Spell,,,,,,
15032,Accesscode Talker,,,4.0,"2+ Effect MonstersYour opponent cannot activate cards or effects in response to this card's effect activations. If this card is Link Summoned: You can target 1 Link Monster that was used as material for its Link Summon; this card gains ATK equal to that monster's Link Rating x 1000. You can banish 1 Link Monster from your field or GY; destroy 1 card your opponent controls, also for the rest of this turn, you cannot banish monsters with that same Attribute to activate this effect of ""Accesscode Talker"".",Unlimited,Link / Effect Monster,,,DARK,Cyberse,2300.0,
6916,Accumulated Fortune,,,,Activate only as Chain Link 4 or higher. Draw 2 cards. You cannot activate this card if multiple cards/effects with the same name are in that Chain.,Unlimited,Normal Trap,,,,,,
9620,Achacha Archer,3.0,,,When this card is Normal or Flip Summoned: Inflict 500 damage to your opponent.,Unlimited,Effect Monster,,,FIRE,Warrior,1200.0,600.0
