"Card Name","Status","Card Text","Attribute","Level","Monster Type","Card Type","ATK","DEF","Icon"
"Sword Arm of Dragon","Unlimited","Card Text This Jurassic juggernaut has a spine covered in sword-like plates, and a tail to split open skulls.","Attribute EARTH","Level 6","Monster Type Dinosaur","Card Type Normal","ATK 1750","DEF 2030",""
"Swamp Battleguard","Unlimited","Card Text This card gains 500 ATK for each ""Lava Battleguard"" you control.","Attribute EARTH","Level 5","Monster Type Warrior","Card Type Effect","ATK 1800","DEF 1500",""
"Tyhone","Unlimited","Card Text Capable of firing cannonballs from its mouth for long-range attacks, this creature is particularly effective in mountain battles.","Attribute WIND","Level 4","Monster Type Winged Beast","Card Type Normal","ATK 1200","DEF 1400",""
"Battle Steer","Unlimited","Card Text A bull monster often found in the woods, it charges enemy monsters with a pair of deadly horns.","Attribute EARTH","Level 5","Monster Type Beast-Warrior","Card Type Normal","ATK 1800","DEF 1300",""
"Flame Swordsman","Unlimited","Card Text ""Flame Manipulator"" + ""Masaki the Legendary Swordsman""","Attribute FIRE","Level 5","Monster Type Warrior","Card Type Fusion","ATK 1800","DEF 1600",""
"Time Wizard","Unlimited","Card Text Once per turn: You can toss a coin and call it. If you call it right, destroy all monsters your opponent controls. If you call it wrong, destroy as many monsters you control as possible, and if you do, take damage equal to half the total ATK those destroyed monsters had while face-up on the field.","Attribute LIGHT","Level 2","Monster Type Spellcaster","Card Type Effect","ATK 500","DEF 400",""
"Right Leg of the Forbidden One","Limited","Card Text A forbidden right leg sealed by magic. Whosoever breaks this seal will know infinite power. Limited","Attribute DARK","Level 1","Monster Type Spellcaster","Card Type Normal","ATK 200","DEF 300",""
"Left Leg of the Forbidden One","Limited","Card Text A forbidden left leg sealed by magic. Whosoever breaks this seal will know infinite power. Limited","Attribute DARK","Level 1","Monster Type Spellcaster","Card Type Normal","ATK 200","DEF 300",""
"Right Arm of the Forbidden One","Limited","Card Text A forbidden right arm sealed by magic. Whosoever breaks this seal will know infinite power. Limited","Attribute DARK","Level 1","Monster Type Spellcaster","Card Type Normal","ATK 200","DEF 300",""
"Left Arm of the Forbidden One","Limited","Card Text A forbidden left arm sealed by magic. Whosoever breaks this seal will know infinite power. Limited","Attribute DARK","Level 1","Monster Type Spellcaster","Card Type Normal","ATK 200","DEF 300",""
"Exodia the Forbidden One","Limited","Card Text If you have ""Right Leg of the Forbidden One"", ""Left Leg of the Forbidden One"", ""Right Arm of the Forbidden One"" and ""Left Arm of the Forbidden One"" in addition to this card in your hand, you win the Duel. Limited","Attribute DARK","Level 3","Monster Type Spellcaster","Card Type Effect","ATK 1000","DEF 1000",""
"Summoned Skull","Unlimited","Card Text A fiend with dark powers for confusing the enemy. Among the Fiend-Type monsters, this monster boasts considerable force.(This card is always treated as an ""Archfiend"" card.)","Attribute DARK","Level 6","Monster Type Fiend","Card Type Normal","ATK 2500","DEF 1200",""
"The Wicked Worm Beast","Unlimited","Card Text This face-up card on the field is returned to the owner's hand during the End Phase of your turn.","Attribute EARTH","Level 3","Monster Type Beast","Card Type Effect","ATK 1400","DEF 700",""
"Skull Servant","Unlimited","Card Text A skeletal ghost that isn't strong but can mean trouble in large numbers.","Attribute DARK","Level 1","Monster Type Zombie","Card Type Normal","ATK 300","DEF 200",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Battle Ox","Unlimited","Card Text A monster with tremendous power, it destroys enemies with a swing of its axe.","Attribute EARTH","Level 4","Monster Type Beast-Warrior","Card Type Normal","ATK 1700","DEF 1000",""
"Beaver Warrior","Unlimited","Card Text What this creature lacks in size it makes up for in defense when battling in the prairie.","Attribute EARTH","Level 4","Monster Type Beast-Warrior","Card Type Normal","ATK 1200","DEF 1500",""
"Rock Ogre Grotto #1","Unlimited","Card Text Protected by a solid body of rock, this monster throws a bone-shattering punch.","Attribute EARTH","Level 3","Monster Type Rock","Card Type Normal","ATK 800","DEF 1200",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Zombie Warrior","Unlimited","Card Text Skull Servant + ""Battle Warrior""","Attribute DARK","Level 3","Monster Type Zombie","Card Type Fusion","ATK 1200","DEF 900",""
"Koumori Dragon","Unlimited","Card Text A vicious, fire-breathing dragon whose wicked flame corrupts the souls of its victims.","Attribute DARK","Level 4","Monster Type Dragon","Card Type Normal","ATK 1500","DEF 1200",""
"Two-Headed King Rex","Unlimited","Card Text A powerful monster whose two heads attack as one.","Attribute EARTH","Level 4","Monster Type Dinosaur","Card Type Normal","ATK 1600","DEF 1200",""
"Judge Man","Unlimited","Card Text This club-wielding warrior battles to the end and will never surrender.","Attribute EARTH","Level 6","Monster Type Warrior","Card Type Normal","ATK 2200","DEF 1500",""
"Saggi the Dark Clown","Unlimited","Card Text This clown appears from nowhere and executes very strange moves to avoid enemy attacks.","Attribute DARK","Level 3","Monster Type Spellcaster","Card Type Normal","ATK 600","DEF 1500",""
"Dark Magician","Unlimited","Card Text The ultimate wizard in terms of attack and defense.","Attribute DARK","Level 7","Monster Type Spellcaster","Card Type Normal","ATK 2500","DEF 2100",""
"The Snake Hair","Unlimited","Card Text A monster with a head of poison snakes. One look from this monster can turn an opponent to stone.","Attribute DARK","Level 4","Monster Type Zombie","Card Type Normal","ATK 1500","DEF 1200",""
"Gaia the Dragon Champion","Unlimited","Card Text ""Gaia The Fierce Knight"" + ""Curse of Dragon""","Attribute WIND","Level 7","Monster Type Dragon","Card Type Fusion","ATK 2600","DEF 2100",""
"Gaia The Fierce Knight","Unlimited","Card Text A knight whose horse travels faster than the wind. His battle-charge is a force to be reckoned with.","Attribute EARTH","Level 7","Monster Type Warrior","Card Type Normal","ATK 2300","DEF 2100",""
"Curse of Dragon","Unlimited","Card Text A wicked dragon that taps into dark forces to execute a powerful attack.","Attribute DARK","Level 5","Monster Type Dragon","Card Type Normal","ATK 2000","DEF 1500",""
"Dragon Piper","Unlimited","Card Text FLIP: Destroy all face-up ""Dragon Capture Jar""(s) on the field. If you destroy any, change all face-up Dragon-Type monsters on the field to Attack Position.","Attribute FIRE","Level 3","Monster Type Pyro","Card Type Effect","ATK 200","DEF 1800",""
"Celtic Guardian","Unlimited","Card Text An elf who learned to wield a sword, he baffles enemies with lightning-swift attacks.","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Normal","ATK 1400","DEF 1200",""
"Illusionist Faceless Mage","Unlimited","Card Text Manipulates enemy attacks with the power of illusion.","Attribute DARK","Level 5","Monster Type Spellcaster","Card Type Normal","ATK 1200","DEF 2200",""
"Karbonala Warrior","Unlimited","Card Text ""M-Warrior #1"" + ""M-Warrior #2""","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Fusion","ATK 1500","DEF 1200",""
"Rogue Doll","Unlimited","Card Text A deadly doll gifted with mystical power, it is particularly powerful when attacking against dark forces.","Attribute LIGHT","Level 4","Monster Type Spellcaster","Card Type Normal","ATK 1600","DEF 1000",""
"Wattkid (Updated from: Oscillo Hero #2)","Unlimited","Card Text A creature that electrocutes opponents with bolts of lightning.NoteCard Name updated from ""Oscillo Hero #2"" on November 19, 2010.","Attribute LIGHT","Level 3","Monster Type Thunder","Card Type Normal","ATK 1000","DEF 500",""
"Griffore","Unlimited","Card Text This monster's tough hide deflects almost any attack.","Attribute EARTH","Level 4","Monster Type Beast","Card Type Normal","ATK 1200","DEF 1500",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Sangan","Unlimited","Card Text If this card is sent from the field to the GY: Add 1 monster with 1500 or less ATK from your Deck to your hand, but you cannot activate cards, or the effects of cards, with that name for the rest of this turn. You can only use this effect of ""Sangan"" once per turn.","Attribute DARK","Level 3","Monster Type Fiend","Card Type Effect","ATK 1000","DEF 600",""
"Big Insect","Unlimited","Card Text A giant ant that dwells in the jungle, it is powerful whether attacking or defending.","Attribute EARTH","Level 4","Monster Type Insect","Card Type Normal","ATK 1200","DEF 1500",""
"Basic Insect","Unlimited","Card Text Usually found traveling in swarms, this creature's ideal environment is the forest.","Attribute EARTH","Level 2","Monster Type Insect","Card Type Normal","ATK 500","DEF 700",""
"Armored Lizard","Unlimited","Card Text A lizard with a very tough hide and a vicious bite.","Attribute EARTH","Level 4","Monster Type Reptile","Card Type Normal","ATK 1500","DEF 1200",""
"Hercules Beetle","Unlimited","Card Text A massive beetle with a tough carapace and a dangerous horn.","Attribute EARTH","Level 5","Monster Type Insect","Card Type Normal","ATK 1500","DEF 2000",""
"Killer Needle","Unlimited","Card Text A huge bee with exceptional strength that's particularly dangerous in a swarm.","Attribute WIND","Level 4","Monster Type Insect","Card Type Normal","ATK 1200","DEF 1000",""
"Gokibore","Unlimited","Card Text A large, spherical roach that attacks its enemies by rolling over them.","Attribute EARTH","Level 4","Monster Type Insect","Card Type Normal","ATK 1200","DEF 1400",""
"Giant Flea","Unlimited","Card Text A massive flea that feeds on the blood of its enemies.","Attribute EARTH","Level 4","Monster Type Insect","Card Type Normal","ATK 1500","DEF 1200",""
"Larvae Moth","Unlimited","Card Text This monster cannot be Normal Summoned or Set. This card can only be Special Summoned by offering ""Petit Moth"" as a Tribute on the 2nd of your turns after ""Petit Moth"" has been equipped with ""Cocoon of Evolution"".","Attribute EARTH","Level 2","Monster Type Insect","Card Type Effect","ATK 500","DEF 400",""
"Great Moth","Unlimited","Card Text This monster cannot be Normal Summoned or Set. This card can only be Special Summoned by Tributing ""Petit Moth"" on the 4th of your turns after ""Petit Moth"" has been equipped with ""Cocoon of Evolution"".","Attribute EARTH","Level 8","Monster Type Insect","Card Type Effect","ATK 2600","DEF 2500",""
"Kuriboh","Unlimited","Card Text During damage calculation, if your opponent's monster attacks (Quick Effect): You can discard this card; you take no battle damage from that battle.","Attribute DARK","Level 1","Monster Type Fiend","Card Type Effect","ATK 300","DEF 200",""
"Mammoth Graveyard","Unlimited","Card Text A mammoth that protects the graves of its pack and is absolutely merciless when facing grave-robbers.","Attribute EARTH","Level 3","Monster Type Dinosaur","Card Type Normal","ATK 1200","DEF 800",""
"Great White","Unlimited","Card Text A giant white shark with razor-sharp teeth.","Attribute WATER","Level 4","Monster Type Fish","Card Type Normal","ATK 1600","DEF 800",""
"Wolf","Unlimited","Card Text Dis alpha wolf yoozes his sense a smell ta find da enemy. 'ey, quit sniffin at my socks!","Attribute EARTH","Level 3","Monster Type Beast","Card Type Normal","ATK 1200","DEF 800",""
"Harpie Lady","Unlimited","Card Text This human-shaped animal with wings is beautiful to watch but deadly in battle.","Attribute WIND","Level 4","Monster Type Winged Beast","Card Type Normal","ATK 1300","DEF 1400",""
"Harpie Lady Sisters","Unlimited","Card Text Cannot be Normal Summoned/Set. Must first be Special Summoned with ""Elegant Egotist"".","Attribute WIND","Level 6","Monster Type Winged Beast","Card Type Effect","ATK 1950","DEF 2100",""
"Tiger Axe","Unlimited","Card Text A fast and powerful axe-wielding beast-warrior.","Attribute EARTH","Level 4","Monster Type Beast-Warrior","Card Type Normal","ATK 1300","DEF 1100",""
"Silver Fang","Unlimited","Card Text A snow wolf that's beautiful to the eye, but absolutely vicious in battle.","Attribute EARTH","Level 3","Monster Type Beast","Card Type Normal","ATK 1200","DEF 800",""
"Kojikocy","Unlimited","Card Text A man-hunter with powerful arms that can crush boulders.","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Normal","ATK 1500","DEF 1200",""
"Perfectly Ultimate Great Moth","Unlimited","Card Text Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by Tributing 1 ""Petit Moth"" on your 6th turn or later after it was equipped with ""Cocoon of Evolution"".","Attribute EARTH","Level 8","Monster Type Insect","Card Type Effect","ATK 3500","DEF 3000",""
"Garoozis","Unlimited","Card Text An axe-swinging beast-warrior with the head of a dragon.","Attribute FIRE","Level 5","Monster Type Beast-Warrior","Card Type Normal","ATK 1800","DEF 1500",""
"Thousand Dragon","Unlimited","Card Text ""Time Wizard"" + ""Baby Dragon""","Attribute WIND","Level 7","Monster Type Dragon","Card Type Fusion","ATK 2400","DEF 2000",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Jellyfish","Unlimited","Card Text An almost invisible, semi-transparent jellyfish that drifts in the sea.","Attribute WATER","Level 4","Monster Type Aqua","Card Type Normal","ATK 1200","DEF 1500",""
"Cocoon of Evolution","Unlimited","Card Text You can target 1 ""Petit Moth"" you control; equip this card from your hand to that target. While equipped by this effect, the original ATK/DEF of that ""Petit Moth"" becomes the ATK/DEF of ""Cocoon of Evolution"".","Attribute EARTH","Level 3","Monster Type Insect","Card Type Effect","ATK 0","DEF 2000",""
"Kairyu-Shin","Unlimited","Card Text A sea dragon known as the King of the Ocean, it attacks its enemies with huge tidal waves.","Attribute WATER","Level 5","Monster Type Sea Serpent","Card Type Normal","ATK 1800","DEF 1500",""
"Giant Soldier of Stone","Unlimited","Card Text A giant warrior made of stone. A punch from this creature has earth-shaking results.","Attribute EARTH","Level 3","Monster Type Rock","Card Type Normal","ATK 1300","DEF 2000",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Axe Raider","Unlimited","Card Text An axe-wielding monster of tremendous strength and agility.","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Normal","ATK 1700","DEF 1150",""
"Megazowler","Unlimited","Card Text Nothing stands in the way of this spike-covered dinosaur!","Attribute EARTH","Level 6","Monster Type Dinosaur","Card Type Normal","ATK 1800","DEF 2000",""
"Uraby","Unlimited","Card Text Fast on its feet, this dinosaur rips enemies to shreds with its sharp claws.","Attribute EARTH","Level 4","Monster Type Dinosaur","Card Type Normal","ATK 1500","DEF 800",""
"Crawling Dragon #2","Unlimited","Card Text A powerful dragon with teeth that can grind almost anything to dust.","Attribute EARTH","Level 4","Monster Type Dinosaur","Card Type Normal","ATK 1600","DEF 1200",""
"Red-Eyes B. Dragon","Unlimited","Card Text A ferocious dragon with a deadly attack.","Attribute DARK","Level 7","Monster Type Dragon","Card Type Normal","ATK 2400","DEF 2000",""
"Castle of Dark Illusions","Unlimited","Card Text FLIP: Increases the ATK and DEF of all Zombie-Type monsters by 200 points. As long as this card remains face-up on the field, the ATK and DEF of Zombie-Type monsters continues to increase by 200 points during each of your Standby Phases. This effect continues until your 4th turn after the card is activated.","Attribute DARK","Level 4","Monster Type Fiend","Card Type Effect","ATK 920","DEF 1930",""
"Reaper of the Cards","Unlimited","Card Text FLIP: Select 1 Trap Card on the field and destroy it. If the selected card is Set, pick up and see the card. If it is a Trap Card, it is destroyed. If it is a Spell Card, return it to its original position.","Attribute DARK","Level 5","Monster Type Fiend","Card Type Effect","ATK 1380","DEF 1930",""
"King of Yamimakai","Unlimited","Card Text Wields the power of darkness to destroy its enemies.","Attribute DARK","Level 5","Monster Type Fiend","Card Type Normal","ATK 2000","DEF 1530",""
"Barox","Unlimited","Card Text ""Frenzied Panda"" + ""Ryu-Kishin""","Attribute DARK","Level 5","Monster Type Fiend","Card Type Fusion","ATK 1380","DEF 1530",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Metal Guardian","Unlimited","Card Text A fiend guarding the treasures of the netherworld, it's most at home in the dark.","Attribute DARK","Level 5","Monster Type Fiend","Card Type Normal","ATK 1150","DEF 2150",""
"Catapult Turtle","Unlimited","Card Text Once per turn: You can Tribute 1 monster; inflict damage to your opponent equal to half the Tributed monster's ATK on the field.","Attribute WATER","Level 5","Monster Type Aqua","Card Type Effect","ATK 1000","DEF 2000",""
"Gyakutenno Megami","Unlimited","Card Text This fairy uses her mystical power to protect the weak and provide spiritual support.","Attribute LIGHT","Level 6","Monster Type Fairy","Card Type Normal","ATK 1800","DEF 2000",""
"Mystic Horseman","Unlimited","Card Text Half man and half horse, this monster is known for its extreme speed.","Attribute EARTH","Level 4","Monster Type Beast","Card Type Normal","ATK 1300","DEF 1550",""
"Rabid Horseman","Unlimited","Card Text ""Battle Ox"" + ""Mystic Horseman""","Attribute EARTH","Level 6","Monster Type Beast-Warrior","Card Type Fusion","ATK 2000","DEF 1700",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Crawling Dragon","Unlimited","Card Text This weakened dragon can no longer fly, but is still a deadly force to be reckoned with.","Attribute EARTH","Level 5","Monster Type Dragon","Card Type Normal","ATK 1600","DEF 1400",""
"Crass Clown","Unlimited","Card Text When this card is changed from Defense Position to Attack Position, return 1 monster on your opponent's side of the field to the owner's hand.","Attribute DARK","Level 4","Monster Type Fiend","Card Type Effect","ATK 1350","DEF 1400",""
"Armored Zombie","Unlimited","Card Text This warrior blindly swings a deadly blade with devastating force.","Attribute DARK","Level 3","Monster Type Zombie","Card Type Normal","ATK 1500","DEF 0",""
"Dragon Zombie","Unlimited","Card Text A dragon revived by sorcery. Its breath is highly corrosive.","Attribute DARK","Level 3","Monster Type Zombie","Card Type Normal","ATK 1600","DEF 0",""
"Clown Zombie","Unlimited","Card Text A clown revived by the powers of darkness. Its deadly dance has sent many monsters to their graves.","Attribute DARK","Level 2","Monster Type Zombie","Card Type Normal","ATK 1350","DEF 0",""
"Pumpking the King of Ghosts","Unlimited","Card Text If ""Castle of Dark Illusions"" is face-up on the field, increase the ATK and DEF of this card by 100 points. As long as this ""Castle of Dark Illusions"" remains face-up on the field, the ATK and DEF of this card continues to increase by 100 points during each of your Standby Phases. This effect continues until your 4th turn after the card is activated.","Attribute DARK","Level 6","Monster Type Zombie","Card Type Effect","ATK 1800","DEF 2000",""
"Battle Warrior","Unlimited","Card Text A warrior that fights with his bare hands!!!","Attribute EARTH","Level 3","Monster Type Warrior","Card Type Normal","ATK 700","DEF 1000",""
"Wings of Wicked Flame","Unlimited","Card Text Crimson wings of fire make this a very lethal creature.","Attribute FIRE","Level 2","Monster Type Pyro","Card Type Normal","ATK 700","DEF 600",""
"Mask of Darkness","Unlimited","Card Text FLIP: Target 1 Trap in your GY; add that target to your hand.","Attribute DARK","Level 2","Monster Type Fiend","Card Type Flip / Effect","ATK 900","DEF 400",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Curtain of the Dark Ones","Unlimited","Card Text A curtain that a spellcaster made, it is said to raise a dark power.","Attribute DARK","Level 2","Monster Type Spellcaster","Card Type Normal","ATK 600","DEF 500",""
"Tomozaurus","Unlimited","Card Text Small but vicious, this monster even attacks its own kind.","Attribute EARTH","Level 2","Monster Type Dinosaur","Card Type Normal","ATK 500","DEF 400",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Kageningen","Unlimited","Card Text He yoozes both a physical and a shadow form ta attack. So he's a tough monstah ta beat!","Attribute DARK","Level 2","Monster Type Warrior","Card Type Normal","ATK 800","DEF 600",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Goddess with the Third Eye","Unlimited","Card Text You can substitute this card for any 1 Fusion Material Monster. When you do this, the other Fusion Material Monster(s) must be the correct one(s).","Attribute LIGHT","Level 4","Monster Type Fairy","Card Type Effect","ATK 1200","DEF 1000",""
"Hero of the East","Unlimited","Card Text Feel da strength ah dis sword-swingin' samurai from da Far East.","Attribute EARTH","Level 3","Monster Type Warrior","Card Type Normal","ATK 1100","DEF 1000",""
"Doma The Angel of Silence","Unlimited","Card Text This fairy rules over the end of existence.","Attribute DARK","Level 5","Monster Type Fairy","Card Type Normal","ATK 1600","DEF 1400",""
"That Which Feeds on Life","Unlimited","Card Text A monster that feeds on the energy of other creatures.","Attribute DARK","Level 4","Monster Type Fiend","Card Type Normal","ATK 1200","DEF 1000",""
"Dark Gray","Unlimited","Card Text Entirely gray, this beast has rarely been seen by mortal eyes.","Attribute EARTH","Level 3","Monster Type Beast","Card Type Normal","ATK 800","DEF 900",""
"White Magical Hat","Unlimited","Card Text When this card inflicts Battle Damage to your opponent's Life Points, your opponent discards 1 card randomly from his/her hand.","Attribute LIGHT","Level 3","Monster Type Spellcaster","Card Type Effect","ATK 1000","DEF 700",""
"Kamionwizard","Unlimited","Card Text Mystical Elf + ""Curtain of the Dark Ones""","Attribute DARK","Level 4","Monster Type Spellcaster","Card Type Fusion","ATK 1300","DEF 1100",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Spirit of the Books","Unlimited","Card Text This wise spirit dwells in books, using its accumulated knowledge to defeat enemies.","Attribute WIND","Level 4","Monster Type Winged Beast","Card Type Normal","ATK 1400","DEF 1200",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Trial of Nightmare","Unlimited","Card Text This fiend passes judgment on enemies that are locked in coffins.","Attribute DARK","Level 4","Monster Type Fiend","Card Type Normal","ATK 1300","DEF 900",""
"Dream Clown","Unlimited","Card Text When this card is changed from Attack Position to Defense Position, destroy 1 monster on your opponent's side of the field.","Attribute EARTH","Level 3","Monster Type Warrior","Card Type Effect","ATK 1200","DEF 900",""
"Sleeping Lion","Unlimited","Card Text A ferocious animal that sleeps all day. Sometimes it's better to let Sleeping Lions lie.","Attribute EARTH","Level 4","Monster Type Beast","Card Type Normal","ATK 700","DEF 1700",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Ancient Tool","Unlimited","Card Text A destructive machine discovered in the Ruins of the Ancients.","Attribute DARK","Level 5","Monster Type Machine","Card Type Normal","ATK 1700","DEF 1400",""
"Faith Bird","Unlimited","Card Text This long-tailed bird blinds its enemies with mystical light.","Attribute WIND","Level 4","Monster Type Winged Beast","Card Type Normal","ATK 1500","DEF 1100",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Ansatsu","Unlimited","Card Text A silent and deadly warrior specializing in assassinations.","Attribute EARTH","Level 5","Monster Type Warrior","Card Type Normal","ATK 1700","DEF 1200",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Nemuriko","Unlimited","Card Text A child-like creature that controls a sleep fiend to beckon enemies into eternal slumber.","Attribute DARK","Level 3","Monster Type Spellcaster","Card Type Normal","ATK 800","DEF 700",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Octoberser","Unlimited","Card Text With the head of a fish and the legs of an octopus, this strange creature attacks enemies by flinging spears.","Attribute WATER","Level 5","Monster Type Aqua","Card Type Normal","ATK 1600","DEF 1400",""
"The 13th Grave","Unlimited","Card Text A zombie that suddenly appeared from plot #13 - an empty grave.","Attribute DARK","Level 3","Monster Type Zombie","Card Type Normal","ATK 1200","DEF 900",""
"Charubin the Fire Knight","Unlimited","Card Text ""Monster Egg"" + ""Hinotama Soul""","Attribute FIRE","Level 3","Monster Type Pyro","Card Type Fusion","ATK 1100","DEF 800",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Witty Phantom","Unlimited","Card Text Dressed in a night-black tuxedo, this creature presides over the darkness.","Attribute DARK","Level 4","Monster Type Fiend","Card Type Normal","ATK 1400","DEF 1300",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Blue-Eyed Silver Zombie","Unlimited","Card Text The beams from the eyes of this creature are said to turn enemies into zombies.","Attribute DARK","Level 3","Monster Type Zombie","Card Type Normal","ATK 900","DEF 700",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Flame Manipulator","Unlimited","Card Text This Spellcaster attacks enemies with fire-related spells such as ""Sea of Flames"" and ""Wall of Fire"".","Attribute FIRE","Level 3","Monster Type Spellcaster","Card Type Normal","ATK 900","DEF 1000",""
"Necrolancer the Time-lord (Updated from: Necrolancer the Timelord)","Unlimited","Card Text The one-eyed Necrolancer launches his onslaught from a dimensional ring that can appear out of thin air.NotesCard Name updated from ""Necrolancer the Timelord"". (Printed version not yet available.)","Attribute DARK","Level 3","Monster Type Spellcaster","Card Type Normal","ATK 800","DEF 900",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Temple of Skulls","Unlimited","Card Text A mysterious temple of skulls and bones that pulls in unsuspecting enemies.","Attribute DARK","Level 4","Monster Type Zombie","Card Type Normal","ATK 900","DEF 1300",""
"Monster Egg","Unlimited","Card Text A warrior hidden within an egg that attacks enemies by flinging eggshells.","Attribute EARTH","Level 3","Monster Type Warrior","Card Type Normal","ATK 600","DEF 900",""
"The Shadow Who Controls the Dark","Unlimited","Card Text A shadow that dwells in the dark, paralyzing its opponents and rendering them harmless.","Attribute DARK","Level 3","Monster Type Fiend","Card Type Normal","ATK 800","DEF 700",""
"Lord of the Lamp","Unlimited","Card Text This spirit emerges from the mystic lamp and obeys the wishes of its summoner.","Attribute DARK","Level 4","Monster Type Fiend","Card Type Normal","ATK 1400","DEF 1200",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Rhaimundos of the Red Sword","Unlimited","Card Text Armed with the Sword of Crimson Flames, this warrior can bind a monster with fiery restraints.","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Normal","ATK 1200","DEF 1300",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Fire Reaper","Unlimited","Card Text A reaper with a flaming arrow that burns an enemy to a crisp.","Attribute DARK","Level 2","Monster Type Zombie","Card Type Normal","ATK 700","DEF 500",""
"Larvas","Unlimited","Card Text A fast-moving, bird-like creature that strangles opposing monsters with its long, thin arms.","Attribute EARTH","Level 3","Monster Type Beast","Card Type Normal","ATK 800","DEF 1000",""
"Hard Armor","Unlimited","Card Text A living suit of armor that attacks enemies with a bone-jarring tackle.","Attribute EARTH","Level 3","Monster Type Warrior","Card Type Normal","ATK 300","DEF 1200",""
