"Card Name","Status","Card Text","Icon","Attribute","Level","Monster Type","Card Type","ATK","DEF"
"Mind Haxorz","Unlimited","Card Text Pay 500 Life Points. Look at your opponent's hand and all Set cards on their side of the field.","Icon Normal Trap","","","","","",""
"Fuh-Rin-Ka-Zan","Unlimited","Card Text When there are face-up WIND, WATER, FIRE and EARTH monster(s) on the field: Apply 1 of these effects.●Destroy all monsters your opponent controls.●Destroy all Spell and Trap Cards your opponent controls.●Discard 2 random cards from your opponent's hand.●Draw 2 cards.","Icon Normal Trap","","","","","",""
"Chain Burst","Unlimited","Card Text Each time a player activates a Trap Card, they take 1000 damage immediately after it resolves.","Icon Continuous Trap","","","","","",""
"Pikeru's Circle of Enchantment","Unlimited","Card Text Damage to you from card effects becomes 0 until the end of this turn.","Icon Normal Trap","","","","","",""
"Spell Purification","Unlimited","Card Text Discard 1 card from your hand. Destroy all face-up Continuous Spell Cards.","Icon Normal Trap","","","","","",""
"Astral Barrier","Unlimited","Card Text If your opponent's monster attacks a monster you control: You can make the attack a direct attack instead.","Icon Continuous Trap","","","","","",""
"Covering Fire","Unlimited","Card Text During the Damage Step, while an opponent's monster is attacking a monster you control: Target 1 other face-up monster you control; your attacked monster gains ATK equal to that target's ATK during the Damage Step only.","Icon Normal Trap","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Castle Gate","Unlimited","Card Text This card cannot be destroyed by battle. Once per turn, if this card is in face-up Attack Position, you can Tribute 1 Level 5 or lower monster to inflict damage to your opponent equal to that monster's original ATK.","","Attribute EARTH","Level 6","Monster Type Rock","Card Type Effect","ATK 0","DEF 2400"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Owner's Seal","Unlimited","Card Text Return control of all monsters on the field to their original owners.","Icon Normal Spell","","","","","",""
"Space Mambo","Unlimited","Card Text A Space Mambo floating in the vast universe. This living relic was found in the ruins of a super civilization on Alphard 4.","","Attribute WATER","Level 4","Monster Type Fish","Card Type Normal","ATK 1700","DEF 1000"
"Divine Dragon Ragnarok","Unlimited","Card Text A legendary dragon sent by the gods as their instrument. Legends say that if provoked, the whole world will sink beneath the sea.","","Attribute LIGHT","Level 4","Monster Type Dragon","Card Type Normal","ATK 1500","DEF 1000"
"Chu-Ske the Mouse Fighter","Unlimited","Card Text A fiery mouse, travelling the world to become the strongest fighter in the world of mice. Be careful not to touch him, or you will get burned.","","Attribute EARTH","Level 3","Monster Type Beast","Card Type Normal","ATK 1200","DEF 0"
"Insect Knight","Unlimited","Card Text Of all Insect fighters, he is the paragon of the Indestructible Insect Invaders, which only the elite of the elite can join. We can no longer ignore their unmatched battle prowess.","","Attribute EARTH","Level 4","Monster Type Insect","Card Type Normal","ATK 1900","DEF 1500"
"Sacred Phoenix of Nephthys","Unlimited","Card Text Once per turn, during your next Standby Phase after this card was destroyed by a card effect and sent to the GY: Special Summon this card from the GY. If you do: Destroy all Spells and Traps on the field.","","Attribute FIRE","Level 8","Monster Type Winged Beast","Card Type Effect","ATK 2400","DEF 1600"
"Hand of Nephthys","Unlimited","Card Text You can Tribute this card and 1 other monster; Special Summon 1 ""Sacred Phoenix of Nephthys"" from your hand or Deck.","","Attribute WIND","Level 2","Monster Type Spellcaster","Card Type Effect","ATK 600","DEF 600"
"Ultimate Insect LV5","Unlimited","Card Text If this card was Special Summoned by the effect of ""Ultimate Insect LV3"", while it remains on the field all of your opponent's monsters lose 500 ATK. During your Standby Phase, by sending this face-up card to the Graveyard, Special Summon 1 ""Ultimate Insect LV7"" from your hand or Deck. (You cannot activate this effect the turn this card is Normal Summoned, Special Summoned, or flipped face-up.)","","Attribute WIND","Level 5","Monster Type Insect","Card Type Effect","ATK 2300","DEF 900"
"Granmarg the Rock Monarch","Unlimited","Card Text If this card is Tribute Summoned: Target 1 Set card on the field; destroy that target.","","Attribute EARTH","Level 6","Monster Type Rock","Card Type Effect","ATK 2400","DEF 1000"
"Element Valkyrie","Unlimited","Card Text (This card is not treated as a ""Valkyrie"" card.)This monster gets the following effect(s) while there is a monster(s) with the following Attribute(s) on the field:●FIRE: This card gains 500 ATK.●WATER: Control of this card cannot switch.","","Attribute LIGHT","Level 4","Monster Type Fairy","Card Type Effect","ATK 1500","DEF 1200"
"Element Doom","Unlimited","Card Text This monster gets the following effect(s) while there is a monster(s) with the following Attribute(s) on the field:●EARTH: Negate the effect of an Effect Monster that this card destroyed by battle.●WIND: If this card destroyed your opponent's monster by battle, it can attack once again in a row.","","Attribute DARK","Level 4","Monster Type Fiend","Card Type Effect","ATK 1500","DEF 1200"
"Maji-Gire Panda","Unlimited","Card Text Each time a Beast-Type monster(s) on the field is destroyed, this card gains 500 ATK.","","Attribute EARTH","Level 4","Monster Type Beast","Card Type Effect","ATK 1000","DEF 800"
"Catnipped Kitty","Unlimited","Card Text This card cannot be attacked if there is another Beast-Type monster on your side of the field. Once per turn, you can make the DEF of 1 monster on your opponent's side of the field 0 until the end of this turn.","","Attribute EARTH","Level 2","Monster Type Beast","Card Type Effect","ATK 0","DEF 500"
"Behemoth the King of All Animals","Unlimited","Card Text This card can be Normal Summoned or Set with 1 Tribute. In that case, the original ATK of this card becomes 2000. When this card is Tribute Summoned, you can return from your Graveyard to the owner's hand a number of Beast-Type monsters equal to the number of Tributed monsters.","","Attribute EARTH","Level 7","Monster Type Beast","Card Type Effect","ATK 2700","DEF 1500"
"Big-Tusked Mammoth","Unlimited","Card Text Monsters your opponent controls cannot attack the turn they are Summoned.","","Attribute EARTH","Level 5","Monster Type Beast","Card Type Effect","ATK 2000","DEF 1000"
"Kangaroo Champ","Unlimited","Card Text A monster that battles with this card is changed to Defense Position after damage calculation.","","Attribute EARTH","Level 4","Monster Type Beast","Card Type Effect","ATK 800","DEF 700"
"Hyena","Unlimited","Card Text When this card is destroyed by battle and sent to the Graveyard: You can Special Summon any number of ""Hyenas"" from your Deck.","","Attribute EARTH","Level 3","Monster Type Beast","Card Type Effect","ATK 1000","DEF 300"
"Blade Rabbit","Unlimited","Card Text When this card is changed from Attack Position to face-up Defense Position, destroy 1 monster on your opponent's side of the field.","","Attribute EARTH","Level 2","Monster Type Beast","Card Type Effect","ATK 400","DEF 300"
"Mecha-Dog Marron","Unlimited","Card Text When this card is destroyed by battle and sent to the Graveyard, inflict 1000 damage to both players. When this card on the field is destroyed and sent to the Graveyard except by battle, inflict 1000 damage to your opponent.","","Attribute LIGHT","Level 4","Monster Type Machine","Card Type Effect","ATK 1000","DEF 1000"
"Blast Magician","Unlimited","Card Text Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell Card resolves. You can remove any number of Spell Counters from this card, then target 1 face-up monster on the field with ATK less than or equal to the number of counters you removed x 700; destroy that target.","","Attribute FIRE","Level 4","Monster Type Spellcaster","Card Type Effect","ATK 1400","DEF 1700"
"Gearfried the Swordmaster","Unlimited","Card Text Cannot be Normal Summoned/Set. Must be Special Summoned with ""Release Restraint"". Each time an Equip Card(s) is equipped to this card: Target 1 monster your opponent controls; destroy that target.","","Attribute LIGHT","Level 7","Monster Type Warrior","Card Type Effect","ATK 2600","DEF 2200"
"Armed Samurai - Ben Kei","Unlimited","Card Text For each Equip Card equipped to this card, it gains 1 additional attack during each Battle Phase.","","Attribute DARK","Level 4","Monster Type Warrior","Card Type Effect","ATK 500","DEF 800"
"Shadowslayer","Unlimited","Card Text If all monsters your opponent controls are in Defense Position, this card can attack your opponent directly.","","Attribute DARK","Level 4","Monster Type Fiend","Card Type Effect","ATK 1400","DEF 200"
"Golem Sentry","Unlimited","Card Text Once per turn: You can change this card to face-down Defense Position. When this card is Flip Summoned: Target 1 monster your opponent controls; return that target to the hand.","","Attribute EARTH","Level 4","Monster Type Rock","Card Type Effect","ATK 800","DEF 1800"
"Abare Ushioni","Unlimited","Card Text Once per turn, you can toss a coin and call it. If you call it right, inflict 1000 damage to your opponent. If you call it wrong, you take 1000 damage.","","Attribute EARTH","Level 4","Monster Type Beast-Warrior","Card Type Effect","ATK 1200","DEF 1200"
"The Light - Hex-Sealed Fusion","Unlimited","Card Text You can substitute this card for any 1 Fusion Material Monster, but the other Fusion Material Monster(s) must be correct. You can Tribute Fusion Material Monsters on the field, including this face-up card; Special Summon 1 corresponding LIGHT Fusion Monster from your Extra Deck.","","Attribute LIGHT","Level 3","Monster Type Rock","Card Type Effect","ATK 1000","DEF 1600"
"The Dark - Hex-Sealed Fusion","Unlimited","Card Text You can substitute this card for any 1 Fusion Material Monster, but the other Fusion Material Monster(s) must be correct. You can Tribute Fusion Material Monsters on the field, including this face-up card; Special Summon 1 corresponding DARK Fusion Monster from your Extra Deck.","","Attribute DARK","Level 3","Monster Type Rock","Card Type Effect","ATK 1000","DEF 1600"
"The Earth - Hex-Sealed Fusion","Unlimited","Card Text You can substitute this card for any 1 Fusion Material Monster, but the other Fusion Material Monster(s) must be correct. You can Tribute Fusion Material Monsters on the field, including this face-up card; Special Summon 1 corresponding EARTH Fusion Monster from your Extra Deck.","","Attribute EARTH","Level 3","Monster Type Rock","Card Type Effect","ATK 1000","DEF 1600"
"Whirlwind Prodigy","Unlimited","Card Text When Tribute Summoning a WIND monster, you can treat this 1 monster as 2 Tributes.","","Attribute WIND","Level 4","Monster Type Fairy","Card Type Effect","ATK 1500","DEF 1600"
"Flame Ruler","Unlimited","Card Text This card can be treated as 2 Tributes for the Tribute Summon of a FIRE monster.","","Attribute FIRE","Level 4","Monster Type Pyro","Card Type Effect","ATK 1500","DEF 1600"
"Firebird","Unlimited","Card Text Each time a Winged Beast-Type monster(s) on your side of the field is destroyed, this card gains 500 ATK.","","Attribute FIRE","Level 4","Monster Type Winged Beast","Card Type Effect","ATK 1000","DEF 800"
"Rescue Cat","Unlimited","Card Text You can send this card to the Graveyard; Special Summon 2 Level 3 or lower Beast-Type monsters from your Deck, but they have their effects negated, also they are destroyed during the End Phase. You can only use this effect of ""Rescue Cat"" once per turn.","","Attribute EARTH","Level 4","Monster Type Beast","Card Type Effect","ATK 300","DEF 100"
"Brain Jacker","Unlimited","Card Text FLIP: Equip this card to a monster on your opponent's side of the field and treat it as an Equip Card. Take control of the equipped monster. Your opponent gains 500 Life Points during each of their Standby Phases.","","Attribute DARK","Level 2","Monster Type Fiend","Card Type Effect","ATK 200","DEF 900"
"Gatling Dragon","Unlimited","Card Text ""Barrel Dragon"" + ""Blowback Dragon""Once per turn: You can toss a coin 3 times and destroy as many monsters on the field as possible, but not more than the number of heads.","","Attribute DARK","Level 8","Monster Type Machine","Card Type Fusion / Effect","ATK 2600","DEF 1200"
"King Dragun","Unlimited","Card Text ""Lord of D."" + ""Divine Dragon Ragnarok""Your opponent cannot target Dragon monsters with card effects. Once per turn: You can Special Summon 1 Dragon monster from your hand.","","Attribute DARK","Level 7","Monster Type Dragon","Card Type Fusion / Effect","ATK 2400","DEF 1100"
"A Feather of the Phoenix","Unlimited","Card Text Discard 1 card, then target 1 card in your GY; return that target to the top of your Deck.","Icon Normal Spell","","","","","",""
"Poison Fangs","Unlimited","Card Text Each time a Beast-Type monster inflicts Battle Damage to your opponent, inflict 500 damage to your opponent.","Icon Continuous Spell","","","","","",""
"Swords of Concealing Light","Unlimited","Card Text Destroy this card during your 2nd Standby Phase after activation. When this card resolves, change all monsters your opponent controls to face-down Defense Position. Monsters your opponent controls cannot change their battle positions.","Icon Continuous Spell","","","","","",""
"Spiral Spear Strike","Unlimited","Card Text If ""Gaia The Fierce Knight"", ""Swift Gaia the Fierce Knight"", or ""Gaia the Dragon Champion"" you control attacks a Defense Position monster, inflict piercing battle damage to your opponent. If ""Gaia the Dragon Champion"" inflicts battle damage with this effect: Draw 2 cards, then discard 1 card.","Icon Continuous Spell","","","","","",""
"Release Restraint","Unlimited","Card Text Tribute 1 ""Gearfried the Iron Knight""; Special Summon 1 ""Gearfried the Swordmaster"" from your hand or Deck.","Icon Normal Spell","","","","","",""
"Centrifugal Field","Unlimited","Card Text When a Fusion Monster(s) is destroyed by a card effect and sent to the Graveyard: Its owner targets 1 Fusion Material Monster in their Graveyard that is listed on that Fusion Monster; that player Special Summons that target.","Icon Field Spell","","","","","",""
"Fulfillment of the Contract","Unlimited","Card Text Activate this card by paying 800 LP, then target 1 Ritual Monster in your GY; Special Summon it and equip it with this card. When this card is destroyed, banish the equipped monster.","Icon Equip Spell","","","","","",""
"Re-Fusion","Unlimited","Card Text Activate this card by paying 800 LP, then target 1 Fusion Monster in your GY; Special Summon it and equip it with this card. When this card is destroyed, banish the equipped monster.","Icon Equip Spell","","","","","",""
"The Big March of Animals","Unlimited","Card Text Until the end of this turn, all face-up Beast-Type monsters on your side of the field gain 200 ATK for each Beast-Type monster on your side of the field.","Icon Quick-Play Spell","","","","","",""
"Cross Counter","Unlimited","Card Text If the DEF of an attacked Defense Position monster is higher than the ATK of your opponent's attacking monster, the Battle Damage inflicted to your opponent is doubled. Destroy the attacking monster after damage calculation.","Icon Normal Trap","","","","","",""
"Pole Position","Unlimited","Card Text The face-up monster(s) with the highest ATK on the field is unaffected by the effects of Spell Cards. When ""Pole Position"" is removed from the field, destroy the face-up monster(s) with the highest ATK on the field.","Icon Continuous Trap","","","","","",""
"Penalty Game!","Unlimited","Card Text When your opponent has 4 cards in their hand: Activate 1 of these effects.●Your opponent cannot draw during their next Draw Phase.●Your opponent cannot activate Spell/Trap Cards this turn.","Icon Normal Trap","","","","","",""
"Threatening Roar","Unlimited","Card Text Your opponent cannot declare an attack this turn.","Icon Normal Trap","","","","","",""
"Phoenix Wing Wind Blast","Unlimited","Card Text Discard 1 card, then target 1 card your opponent controls; place that target on the top of the Deck.","Icon Normal Trap","","","","","",""
"Good Goblin Housekeeping","Unlimited","Card Text Draw cards equal to the number of ""Good Goblin Housekeeping"" cards in your Graveyard +1, then select 1 card from your hand and return it to the bottom of your Deck.","Icon Normal Trap","","","","","",""
"Beast Soul Swap","Unlimited","Card Text Target 1 Beast-Type monster you control; return it to the hand, and if you do, Special Summon 1 Beast-Type monster from your hand with the same Level as the monster that was returned to the hand.","Icon Normal Trap","","","","","",""
"Assault on GHQ","Unlimited","Card Text Target 1 monster you control; destroy it, then send 2 cards from the top of your opponent's Deck to the GY.","Icon Normal Trap","","","","","",""
"D.D. Dynamite","Unlimited","Card Text Inflict 300 damage to your opponent for each of their removed from play cards.","Icon Normal Trap","","","","","",""
"Deck Devastation Virus","Unlimited","Card Text Tribute 1 DARK monster with 2000 or more ATK; look at your opponent's hand, all monsters they control, and all cards they draw until the end of their 3rd turn after this card's activation, and destroy all those monsters with 1500 or less ATK.","Icon Normal Trap","","","","","",""
"Elemental Burst","Unlimited","Card Text Tribute 1 each of WIND, WATER, FIRE, and EARTH monsters to activate this card. Destroy all cards on your opponent's side of the field.","Icon Normal Trap","","","","","",""
"Forced Ceasefire","Unlimited","Card Text Discard 1 card from your hand. No Trap Cards can be activated until the end of this turn.","Icon Normal Trap","","","","","",""
"Vampire's Curse","Unlimited","Card Text When this card is destroyed by battle and sent to the Graveyard: You can pay 500 Life Points; Special Summon it during the Standby Phase of the next turn. When you do: It gains 500 ATK.","","Attribute DARK","Level 6","Monster Type Zombie","Card Type Effect","ATK 2000","DEF 800"
"Union Attack","Unlimited","Card Text Target 1 face-up monster you control; add up the total ATK of all other face-up Attack Position monsters you currently control, then during the Battle Phase of this turn only, the monster gains that much ATK, but cannot inflict Battle Damage to your opponent, also other face-up Attack Position monsters cannot attack.","Icon Normal Spell","","","","","",""
"Blood Sucker","Unlimited","Card Text If this card inflicts battle damage to your opponent: Send the top card of their Deck to the GY.","","Attribute DARK","Level 4","Monster Type Zombie","Card Type Effect","ATK 1300","DEF 1500"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Overpowering Eye","Unlimited","Card Text Target 1 Zombie monster you control with 2000 or less ATK; it can attack directly this turn.","Icon Normal Spell","","","","","",""
"Red-Eyes Darkness Dragon","Unlimited","Card Text Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by Tributing 1 ""Red-Eyes B. Dragon"" and cannot be Special Summoned by other ways. This card gains 300 ATK for each Dragon-Type monster in your Graveyard.","","Attribute DARK","Level 9","Monster Type Dragon","Card Type Effect","ATK 2400","DEF 2000"
"Vampire Genesis","Unlimited","Card Text Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by banishing 1 ""Vampire Lord"" you control, and cannot be Special Summoned by other ways. Once per turn: You can discard 1 Zombie-Type monster to the Graveyard, then target 1 Zombie-Type monster in your Graveyard with a Level less than the discarded Zombie-Type monster's; Special Summon that target.","","Attribute DARK","Level 8","Monster Type Zombie","Card Type Effect","ATK 3000","DEF 2100"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Kaibaman","Unlimited","Card Text You can Tribute this card; Special Summon 1 ""Blue-Eyes White Dragon"" from your hand.","","Attribute LIGHT","Level 3","Monster Type Warrior","Card Type Effect","ATK 200","DEF 700"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Machina Soldier","Unlimited","Card Text When this card is Normal Summoned while you control no other monsters: You can Special Summon 1 ""Machina"" monster from your hand, except ""Machina Soldier"".","","Attribute EARTH","Level 4","Monster Type Machine","Card Type Effect","ATK 1600","DEF 1500"
"Machina Defender","Unlimited","Card Text FLIP: Add 1 ""Commander Covington"" from your Deck to your hand.","","Attribute EARTH","Level 4","Monster Type Machine","Card Type Flip / Effect","ATK 1200","DEF 1800"
"Machina Sniper","Unlimited","Card Text Monsters cannot attack ""Machina"" monsters, except ""Machina Sniper"".","","Attribute EARTH","Level 4","Monster Type Machine","Card Type Effect","ATK 1800","DEF 800"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Commander Covington","Unlimited","Card Text You can send 1 face-up ""Machina Soldier"", ""Machina Sniper"", and ""Machina Defender"" you control to the GY; Special Summon 1 ""Machina Force"" from your hand or Deck.","","Attribute EARTH","Level 4","Monster Type Machine","Card Type Effect","ATK 1000","DEF 600"
"Machina Force","Unlimited","Card Text Cannot be Normal Summoned/Set. Must be Special Summoned by ""Commander Covington"". You must pay 1000 LP to declare an attack with this card. You can send this card you control to the GY, then target 1 ""Machina Soldier"", ""Machina Sniper"", and ""Machina Defender"" in your GY; Special Summon those targets.","","Attribute EARTH","Level 10","Monster Type Machine","Card Type Effect","ATK 4600","DEF 4100"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Elemental HERO Avian","Unlimited","Card Text A winged Elemental HERO who wheels through the sky and manipulates the wind. His signature move, Featherbreak, gives villainy a blow from sky-high.","","Attribute WIND","Level 3","Monster Type Warrior","Card Type Normal","ATK 1000","DEF 1000"
"Elemental HERO Burstinatrix","Unlimited","Card Text A flame manipulator who was the first Elemental HERO woman. Her Burstfire burns away villainy.","","Attribute FIRE","Level 3","Monster Type Warrior","Card Type Normal","ATK 1200","DEF 800"
"Elemental HERO Clayman","Unlimited","Card Text An Elemental HERO with a clay body built-to-last. He'll preserve his Elemental HERO colleagues at any cost.","","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Normal","ATK 800","DEF 2000"
"Elemental HERO Sparkman","Unlimited","Card Text An Elemental HERO and a warrior of light who proficiently wields many kinds of armaments. His Static Shockwave cuts off the path of villainy.","","Attribute LIGHT","Level 4","Monster Type Warrior","Card Type Normal","ATK 1600","DEF 1400"
"Winged Kuriboh","Unlimited","Card Text If this card on the field is destroyed and sent to the GY: For the rest of this turn, you take no battle damage.","","Attribute LIGHT","Level 1","Monster Type Fairy","Card Type Effect","ATK 300","DEF 200"
"Ancient Gear Golem","Unlimited","Card Text Cannot be Special Summoned. If this card attacks, your opponent cannot activate any Spell/Trap Cards until the end of the Damage Step. If this card attacks a Defense Position monster, inflict piercing battle damage.","","Attribute EARTH","Level 8","Monster Type Machine","Card Type Effect","ATK 3000","DEF 3000"
"Ancient Gear Beast","Unlimited","Card Text Cannot be Special Summoned. If this card attacks, your opponent cannot activate any Spell/Trap Cards until the end of the Damage Step. Negate the effects of an opponent's monster destroyed by battle with this card (including in the Graveyard).","","Attribute EARTH","Level 6","Monster Type Machine","Card Type Effect","ATK 2000","DEF 2000"
"Ancient Gear Soldier","Unlimited","Card Text If this card attacks, your opponent cannot activate any Spell/Trap Cards until the end of the Damage Step.","","Attribute EARTH","Level 4","Monster Type Machine","Card Type Effect","ATK 1300","DEF 1300"
"Millennium Scorpion","Unlimited","Card Text Each time this card destroys 1 monster on your opponent's side of the field by battle and sends it to the Graveyard, this card gains 500 ATK.","","Attribute EARTH","Level 5","Monster Type Insect","Card Type Effect","ATK 2000","DEF 1800"
"Ultimate Insect LV7","Unlimited","Card Text If this card was Special Summoned by the effect of ""Ultimate Insect LV5"", while it remains on the field all of your opponent's monsters lose 700 ATK and DEF.","","Attribute WIND","Level 7","Monster Type Insect","Card Type Effect","ATK 2600","DEF 1200"
"Lost Guardian","Unlimited","Card Text The original DEF of this card equals the number of your banished Rock-Type monsters x 700.","","Attribute EARTH","Level 4","Monster Type Rock","Card Type Effect","ATK 100","DEF ?"
"Hieracosphinx","Unlimited","Card Text Your opponent cannot select a face-down Defense Position monster as an attack target.","","Attribute EARTH","Level 6","Monster Type Rock","Card Type Effect","ATK 2400","DEF 1200"
"Criosphinx","Unlimited","Card Text When a monster is returned from the field to the owner's hand, the owner of the returned monster selects and sends 1 card in their hand to the Graveyard.","","Attribute EARTH","Level 6","Monster Type Rock","Card Type Effect","ATK 1200","DEF 2400"
"Moai Interceptor Cannons","Unlimited","Card Text Once per turn, you can flip this card into face-down Defense Position.","","Attribute EARTH","Level 4","Monster Type Rock","Card Type Effect","ATK 1100","DEF 2000"
"Megarock Dragon","Unlimited","Card Text This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by removing from play a Rock-Type monster(s) in your Graveyard. The original ATK and DEF of this card become the number of Rock-Type monsters you removed from play when you Special Summoned this card x 700.","","Attribute EARTH","Level 7","Monster Type Rock","Card Type Effect","ATK ?","DEF ?"
"Dummy Golem","Unlimited","Card Text FLIP: Your opponent selects 1 monster they control. Switch control of the selected monster and this card.","","Attribute EARTH","Level 2","Monster Type Rock","Card Type Effect","ATK 800","DEF 800"
"Grave Ohja","Unlimited","Card Text While there is a face-down Defense Position monster(s) on your side of the field, no player can select this card as an attack target. Each time a monster on your side of the field is Flip Summoned, inflict 300 damage to your opponent.","","Attribute EARTH","Level 4","Monster Type Rock","Card Type Effect","ATK 1600","DEF 1500"
"Mine Golem","Unlimited","Card Text When this card is destroyed by battle and sent to the Graveyard, inflict 500 damage to your opponent.","","Attribute EARTH","Level 3","Monster Type Rock","Card Type Effect","ATK 1000","DEF 1900"
"Monk Fighter","Unlimited","Card Text Battle Damage to this card's controller from a battle involving this card becomes 0.","","Attribute EARTH","Level 3","Monster Type Rock","Card Type Effect","ATK 1300","DEF 1000"
"Master Monk","Unlimited","Card Text This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by Tributing 1 ""Monk Fighter"". This card can attack twice during the same turn.","","Attribute EARTH","Level 5","Monster Type Rock","Card Type Effect","ATK 1900","DEF 1000"
"Guardian Statue","Unlimited","Card Text Once per turn, you can flip this card into face-down Defense Position. When this card is Flip Summoned, return 1 monster on your opponent's side of the field to its owner's hand.","","Attribute EARTH","Level 4","Monster Type Rock","Card Type Effect","ATK 800","DEF 1400"
"Medusa Worm","Unlimited","Card Text Once per turn, you can flip this card into face-down Defense Position. When this card is Flip Summoned, destroy 1 monster on your opponent's side of the field.","","Attribute EARTH","Level 2","Monster Type Rock","Card Type Effect","ATK 500","DEF 600"
"D.D. Survivor","Unlimited","Card Text During the End Phase, if this card was banished while face-up, on your side of the field, this turn: Special Summon this banished card. This effect can only activate once per turn.","","Attribute DARK","Level 4","Monster Type Warrior","Card Type Effect","ATK 1800","DEF 200"
"Mid Shield Gardna","Unlimited","Card Text Once per turn, you can flip this card into face-down Defense Position. Negate the activation of any Spell Card that targets this 1 face-down monster. At that time, flip this card into face-up Defense Position.","","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Effect","ATK 100","DEF 1800"
"White Ninja","Unlimited","Card Text FLIP: Target 1 Defense Position monster on the field; destroy that target.","","Attribute LIGHT","Level 4","Monster Type Warrior","Card Type Effect","ATK 1500","DEF 800"
"Aussa the Earth Charmer","Unlimited","Card Text FLIP: While this card is face-up on the field, take control of 1 EARTH monster your opponent controls.","","Attribute EARTH","Level 3","Monster Type Spellcaster","Card Type Effect","ATK 500","DEF 1500"
"Eria the Water Charmer","Unlimited","Card Text FLIP: Target 1 face-up WATER monster your opponent controls; take control of that target while this card is face-up on the field.","","Attribute WATER","Level 3","Monster Type Spellcaster","Card Type Effect","ATK 500","DEF 1500"
