"Card Name","Status","Card Text","Attribute","Level","Monster Type","Card Type","ATK","DEF","Icon"
"Kunai with Chain","Unlimited","Card Text Activate 1 or both of these effects (simultaneously).●When an opponent's monster declares an attack: Target the attacking monster; change that target to Defense Position.●Target 1 face-up monster you control; equip this card to that target. It gains 500 ATK.","","","","","","","Icon Normal Trap"
"Magical Labyrinth","Unlimited","Card Text Equip only to ""Labyrinth Wall"". You can Tribute the equipped monster; Special Summon ""Wall Shadow"" from your Deck.","","","","","","","Icon Equip Spell"
"Warrior Elimination","Unlimited","Card Text Destroy all Warrior monsters on the field.","","","","","","","Icon Normal Spell"
"Salamandra","Unlimited","Card Text Equip only to a FIRE monster. It gains 700 ATK.","","","","","","","Icon Equip Spell"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Eternal Rest","Unlimited","Card Text Destroy all monsters equipped with Equip Cards.","","","","","","","Icon Normal Spell"
"Megamorph","Unlimited","Card Text While your LP is lower than your opponent's, the equipped monster's ATK becomes double its original ATK. While your LP is higher, the equipped monster's ATK becomes half its original ATK.","","","","","","","Icon Equip Spell"
"Metalmorph","Unlimited","Card Text Target 1 face-up monster on the field; equip this card to that target. It gains 300 ATK/DEF. If it attacks, it gains ATK equal to half the ATK of the attack target, during damage calculation only.","","","","","","","Icon Normal Trap"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Acid Rain","Unlimited","Card Text Destroy all face-up Machine-Type monsters on the field.","","","","","","","Icon Normal Spell"
"Crush Card Virus","Unlimited","Card Text Tribute 1 DARK monster with 1000 or less ATK; your opponent takes no damage until the end of the next turn after this card resolves, also, you look at your opponent's hand and all monsters they control, and if you do, destroy the monsters among them with 1500 or more ATK, then your opponent can destroy up to 3 monsters with 1500 or more ATK in their Deck.","","","","","","","Icon Normal Trap"
"Eradicating Aerosol","Unlimited","Card Text Destroy all Insect monsters on the field.","","","","","","","Icon Normal Spell"
"Breath of Light","Unlimited","Card Text Destroy all face-up Rock-Type monsters on the field.","","","","","","","Icon Normal Spell"
"Eternal Drought","Unlimited","Card Text Destroy all face-up Fish-Type monsters on the field.","","","","","","","Icon Normal Spell"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Shine Palace","Unlimited","Card Text Equip only to a LIGHT monster. It gains 700 ATK.","","","","","","","Icon Equip Spell"
"Shadow Spell","Unlimited","Card Text Activate this card by targeting 1 face-up monster your opponent controls; it loses 700 ATK, also it cannot attack or change its battle position. When it leaves the field, destroy this card.","","","","","","","Icon Continuous Trap"
"Black Luster Ritual","Unlimited","Card Text This card is used to Ritual Summon ""Black Luster Soldier"". You must also Tribute monsters from your hand or field whose total Levels equal 8 or more.","","","","","","","Icon Ritual Spell"
"Zera Ritual","Unlimited","Card Text This card is used to Ritual Summon ""Zera the Mant"". You must also Tribute monsters from the field or your hand whose total Levels equal 8 or more.","","","","","","","Icon Ritual Spell"
"Harpie's Feather Duster","Forbidden","Card Text Destroy all Spell and Trap Cards your opponent controls. Forbidden","","","","","","","Icon Normal Spell"
"War-Lion Ritual","Unlimited","Card Text This card is used to Ritual Summon ""Super War-Lion"". You must also Tribute monsters from your hand or field whose total Levels equal 7 or more.","","","","","","","Icon Ritual Spell"
"Beastly Mirror Ritual","Unlimited","Card Text This card is used to Ritual Summon ""Fiend's Mirror"". You must also Tribute monsters from the field or your hand whose total Levels equal 6 or more.","","","","","","","Icon Ritual Spell"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Commencement Dance","Unlimited","Card Text This card is used to Ritual Summon ""Performance of Sword"". You must also offer monsters whose total Level Stars equal 6 or more as a Tribute from the field or your hand.","","","","","","","Icon Ritual Spell"
"Hamburger Recipe","Unlimited","Card Text This card is used to Ritual Summon ""Hungry Burger"". You must also offer monsters whose total Level Stars equal 6 or more as a Tribute from the field or your hand.","","","","","","","Icon Ritual Spell"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Novox's Prayer","Unlimited","Card Text This card is used to Ritual Summon ""Skull Guardian"". You must also offer monsters whose total Level Stars equal 7 or more as a Tribute from the field or your hand.","","","","","","","Icon Ritual Spell"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"House of Adhesive Tape","Unlimited","Card Text If the DEF of a monster summoned by your opponent (excluding Special Summon) is 500 points or less, the monster is destroyed.","","","","","","","Icon Normal Trap"
"Eatgaboon","Unlimited","Card Text If the ATK of a monster summoned by your opponent (excluding Special Summon) is 500 points or less, the monster is destroyed.","","","","","","","Icon Normal Trap"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Acid Trap Hole","Unlimited","Card Text Target 1 face-down Defense Position monster on the field; flip it face-up, then destroy it if its DEF is 2000 or less, or return it face-down if its DEF is more than 2000.","","","","","","","Icon Normal Trap"
"Widespread Ruin","Unlimited","Card Text When an opponent's monster declares an attack: Destroy the Attack Position monster your opponent controls with the highest ATK (your choice, if tied).","","","","","","","Icon Normal Trap"
"Goblin Fan","Unlimited","Card Text When a Level 2 or lower monster is Flip Summoned, destroy it. Its effects do not activate at that time.","","","","","","","Icon Continuous Trap"
"Bad Reaction to Simochi","Unlimited","Card Text As long as this card remains face-up on the field, any effect of increasing your opponent's Life Points is changed to inflict the same amount of points in damage to your opponent's Life Points.","","","","","","","Icon Continuous Trap"
"Reverse Trap","Unlimited","Card Text Until the End Phase, all effects that add or subtract ATK or DEF are reversed. (Additions now subtract, and subtractions now add, instead. Multiplications and divisions, including halving/doubling, are not affected.)","","","","","","","Icon Normal Trap"
"Fake Trap","Unlimited","Card Text You can only activate this card when your opponent uses an effect of a Spell, Trap, or Effect Monster to destroy Trap Card(s) on your side of the field. Destroy this card as a substitute of those Trap Card(s) and the other Trap Card(s) are not destroyed. If a Set card(s) would have been destroyed, pick up and see the Set card(s).","","","","","","","Icon Normal Trap"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Turtle Oath","Unlimited","Card Text This card is used to Ritual Summon ""Crab Turtle"". You must also offer monsters whose total Level Stars equal 8 or more as a Tribute from the field or your hand.","","","","","","","Icon Ritual Spell"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Resurrection of Chakra","Unlimited","Card Text This card is used to Ritual Summon ""Chakra"". You must also Tribute monsters from your hand or field whose total Levels equal 7 or more.","","","","","","","Icon Ritual Spell"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Javelin Beetle Pact","Unlimited","Card Text This card is used to Ritual Summon ""Javelin Beetle"". You must also Tribute monsters from the field or your hand whose total Levels equal 8 or more.","","","","","","","Icon Ritual Spell"
"Garma Sword Oath","Unlimited","Card Text This card is used to Ritual Summon ""Garma Sword"". You must also Tribute monsters whose total Levels equal 7 or more from the field or your hand.","","","","","","","Icon Ritual Spell"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Revival of Dokurorider","Unlimited","Card Text This card is used to Ritual Summon ""Dokurorider"". You must also offer monsters whose total Level Stars equal 6 or more as a Tribute from the field or your hand.","","","","","","","Icon Ritual Spell"
"Fortress Whale's Oath","Unlimited","Card Text This card is used to Ritual Summon ""Fortress Whale"". You must also Tribute monsters from your hand or field whose total Levels equal 7 or more.","","","","","","","Icon Ritual Spell"
"Performance of Sword","Unlimited","Card Text This monster can only be Ritual Summoned with the Ritual Spell Card, ""Commencement Dance"". You must also offer monsters whose total Level Stars equal 6 or more as a Tribute from the field or your hand.","Attribute EARTH","Level 6","Monster Type Warrior","Card Type Ritual","ATK 1950","DEF 1850",""
"Hungry Burger","Unlimited","Card Text This monster can only be Ritual Summoned with the Ritual Spell Card, ""Hamburger Recipe"". You must also offer monsters whose total Level Stars equal 6 or more as a Tribute from the field or your hand.","Attribute DARK","Level 6","Monster Type Warrior","Card Type Ritual","ATK 2000","DEF 1850",""
"Sengenjin","Unlimited","Card Text An unstoppable savage that carries Millennium Items.","Attribute EARTH","Level 8","Monster Type Beast-Warrior","Card Type Normal","ATK 2750","DEF 2500",""
"Skull Guardian","Unlimited","Card Text This monster can only be Ritual Summoned with the Ritual Spell Card, ""Novox's Prayer"". You must also offer monsters whose total Level Stars equal 7 or more as a Tribute from the field or your hand.","Attribute LIGHT","Level 7","Monster Type Warrior","Card Type Ritual","ATK 2050","DEF 2500",""
"Tri-Horned Dragon","Unlimited","Card Text An unworthy dragon with three sharp horns sprouting from its head.","Attribute DARK","Level 8","Monster Type Dragon","Card Type Normal","ATK 2850","DEF 2350",""
"Serpent Night Dragon","Unlimited","Card Text A dragon created from the soul of a wicked knight.","Attribute DARK","Level 7","Monster Type Dragon","Card Type Normal","ATK 2350","DEF 2400",""
"Skull Knight","Unlimited","Card Text ""Tainted Wisdom"" + ""Ancient Brain""","Attribute DARK","Level 7","Monster Type Spellcaster","Card Type Fusion","ATK 2650","DEF 2250",""
"Cosmo Queen","Unlimited","Card Text Queen of the galaxies and mistress of the stars.","Attribute DARK","Level 8","Monster Type Spellcaster","Card Type Normal","ATK 2900","DEF 2450",""
"Chakra","Unlimited","Card Text You can Ritual Summon this card with ""Resurrection of Chakra"".","Attribute DARK","Level 7","Monster Type Fiend","Card Type Ritual","ATK 2450","DEF 2000",""
"Crab Turtle","Unlimited","Card Text This monster can only be Ritual Summoned with the Ritual Spell Card, ""Turtle Oath"". You must also offer monsters whose total Level Stars equal 8 or more as a Tribute from the field or your hand.","Attribute WATER","Level 8","Monster Type Aqua","Card Type Ritual","ATK 2550","DEF 2500",""
"Mikazukinoyaiba","Unlimited","Card Text A dragon warrior of the moon armed with a crescent sword.","Attribute DARK","Level 7","Monster Type Dragon","Card Type Normal","ATK 2200","DEF 2350",""
"Meteor Dragon","Unlimited","Card Text This dragon appeared from the sky and crashed to the earth.","Attribute EARTH","Level 6","Monster Type Dragon","Card Type Normal","ATK 1800","DEF 2000",""
"Meteor B. Dragon","Unlimited","Card Text ""Red-Eyes B. Dragon"" + ""Meteor Dragon""","Attribute FIRE","Level 8","Monster Type Dragon","Card Type Fusion","ATK 3500","DEF 2000",""
"Firewing Pegasus","Unlimited","Card Text A heavenly stallion soaring through the skies on crimson wings.","Attribute FIRE","Level 6","Monster Type Beast","Card Type Normal","ATK 2250","DEF 1800",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Garma Sword","Unlimited","Card Text This monster can only be Ritual Summoned with the Ritual Spell Card, ""Garma Sword Oath"".","Attribute DARK","Level 7","Monster Type Warrior","Card Type Ritual","ATK 2550","DEF 2150",""
"Javelin Beetle","Unlimited","Card Text This card can only be Ritual Summoned with the Ritual Spell Card, ""Javelin Beetle Pact"".","Attribute EARTH","Level 8","Monster Type Insect","Card Type Ritual","ATK 2450","DEF 2550",""
"Fortress Whale","Unlimited","Card Text You can Ritual Summon this card with ""Fortress Whale's Oath"".","Attribute WATER","Level 7","Monster Type Fish","Card Type Ritual","ATK 2350","DEF 2150",""
"Dokurorider","Unlimited","Card Text This monster can only be Ritual Summoned with the Ritual Spell Card, ""Revival of Dokurorider"". You must also offer monsters whose total Level Stars equal 6 or more as a Tribute from the field or your hand.","Attribute DARK","Level 6","Monster Type Zombie","Card Type Ritual","ATK 1900","DEF 1850",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Black Magic Ritual","Unlimited","Card Text This card is used to Ritual Summon ""Magician of Black Chaos"". You must also Tribute monsters from your hand or field whose total Levels equal 8 or more.","","","","","","","Icon Ritual Spell"
"Magician of Black Chaos","Unlimited","Card Text You can Ritual Summon this card with ""Black Magic Ritual"".","Attribute DARK","Level 8","Monster Type Spellcaster","Card Type Ritual","ATK 2800","DEF 2600",""
"Slot Machine","Unlimited","Card Text The machine's ability is said to vary according to its slot results.","Attribute DARK","Level 7","Monster Type Machine","Card Type Normal","ATK 2000","DEF 2300",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Red Archery Girl","Unlimited","Card Text A mermaid archer that hides in a protective shell, waiting for the right moment to strike.","Attribute WATER","Level 4","Monster Type Aqua","Card Type Normal","ATK 1400","DEF 1500",""
"Ryu-Ran","Unlimited","Card Text A vicious little dragon sheltered in an egg that looks deceptively harmless.","Attribute FIRE","Level 7","Monster Type Dragon","Card Type Normal","ATK 2200","DEF 2600",""
"Manga Ryu-Ran","Unlimited","Card Text (This card is always treated as a ""Toon"" card.)Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by Tributing 2 monsters, while you control ""Toon World"". Cannot attack the turn it is Special Summoned. You must pay 500 LP to declare an attack with this monster. If ""Toon World"" on the field is destroyed, destroy this card. Can attack your opponent directly, unless they control a Toon monster, in which case this card must target a Toon monster for its attacks.","Attribute FIRE","Level 7","Monster Type Dragon","Card Type Toon / Effect","ATK 2200","DEF 2600",""
"Toon Mermaid","Unlimited","Card Text Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand), while you control ""Toon World"". Cannot attack the turn it is Special Summoned. You must pay 500 LP to declare an attack with this monster. If ""Toon World"" on the field is destroyed, destroy this card. Can attack your opponent directly, unless they control a Toon monster, in which case this card must target a Toon monster for its attacks.","Attribute WATER","Level 4","Monster Type Aqua","Card Type Toon / Effect","ATK 1400","DEF 1500",""
"Toon Summoned Skull","Unlimited","Card Text (This card is always treated as an ""Archfiend"" card.)Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by Tributing 1 monster, while you control ""Toon World"". Cannot attack the turn it is Special Summoned. You must pay 500 LP to declare an attack with this monster. If ""Toon World"" on the field is destroyed, destroy this card. Can attack your opponent directly, unless they control a Toon monster, in which case this card must target a Toon monster for its attacks.","Attribute DARK","Level 6","Monster Type Fiend","Card Type Toon / Effect","ATK 2500","DEF 1200",""
"Dark-Eyes Illusionist","Unlimited","Card Text FLIP: Target 1 monster on the field; it cannot attack while this card is face-up on the field.","Attribute DARK","Level 2","Monster Type Spellcaster","Card Type Effect","ATK 0","DEF 1400",""
"Relinquished","Unlimited","Card Text You can Ritual Summon this card with ""Black Illusion Ritual"". Once per turn: You can target 1 monster your opponent controls; equip that target to this card (max. 1). This card's ATK/DEF become equal to that equipped monster's. If this card would be destroyed by battle, destroy that equipped monster instead. While equipped with that monster, any battle damage you take from battles involving this card inflicts equal effect damage to your opponent.","Attribute DARK","Level 1","Monster Type Spellcaster","Card Type Ritual / Effect","ATK 0","DEF 0",""
"Jigen Bakudan","Unlimited","Card Text FLIP: After this card is flipped, offer it as a Tribute during your Standby Phase to destroy all monsters on your side of the field and inflict Direct Damage equal to half of the total ATK of the destroyed cards (excluding this monster) to your opponent's Life Points.","Attribute FIRE","Level 2","Monster Type Pyro","Card Type Effect","ATK 200","DEF 1000",""
"Thousand-Eyes Idol","Unlimited","Card Text A wicked entity that controls the hearts of men, its thousand eyes are able to see and expand the negative influences in an individual's soul.","Attribute DARK","Level 1","Monster Type Spellcaster","Card Type Normal","ATK 0","DEF 0",""
"Thousand-Eyes Restrict","Unlimited","Card Text ""Relinquished"" + ""Thousand-Eyes Idol""Other monsters on the field cannot change their battle positions or attack. Once per turn: You can target 1 monster your opponent controls; equip that target to this card (max. 1). This card's ATK/DEF become equal to that equipped monster's. If this card would be destroyed by battle, destroy that equipped monster instead.","Attribute DARK","Level 1","Monster Type Spellcaster","Card Type Fusion / Effect","ATK 0","DEF 0",""
"Steel Ogre Grotto #2","Unlimited","Card Text A mechanized iron doll with tremendous strength.","Attribute EARTH","Level 6","Monster Type Machine","Card Type Normal","ATK 1900","DEF 2200",""
"Blast Sphere","Unlimited","Card Text If this face-down Defense Position card was attacked by an opponent's monster, before damage calculation: Equip this card to the attacking monster. Then, during your opponent's next Standby Phase: Destroy the monster this card is equipped to, and if you do, inflict damage to your opponent equal to the ATK the destroyed monster had on the field.","Attribute DARK","Level 4","Monster Type Machine","Card Type Effect","ATK 1400","DEF 1400",""
"Hyozanryu","Unlimited","Card Text A dragon created from a massibe diamond that sparkles with blinding light.","Attribute LIGHT","Level 7","Monster Type Dragon","Card Type Normal","ATK 2100","DEF 2800",""
"Alpha The Magnet Warrior","Unlimited","Card Text Alpha, Beta, and Gamma meld as one to form a powerful monster.","Attribute EARTH","Level 4","Monster Type Rock","Card Type Normal","ATK 1400","DEF 1700",""
"Legion the Fiend Jester","Unlimited","Card Text During your Main Phase, you can Tribute Summon 1 Spellcaster monster in face-up Attack Position, in addition to your Normal Summon/Set. (You can only gain this effect once per turn.) If this card is sent from the field to the GY: You can add 1 Spellcaster Normal Monster from your Deck or GY to your hand. You can only use this effect of ""Legion the Fiend Jester"" once per turn.","Attribute DARK","Level 4","Monster Type Spellcaster","Card Type Effect","ATK 1300","DEF 1500",""
"Invitation to a Dark Sleep","Unlimited","Card Text When this monster is summoned (excluding Special Summon), select 1 of your opponent's monsters. As long as this card remains face-up on the field, the selected monster cannot attack.","Attribute DARK","Level 5","Monster Type Spellcaster","Card Type Effect","ATK 1500","DEF 1800",""
"Lord of D.","Unlimited","Card Text Neither player can target Dragon monsters on the field with card effects.","Attribute DARK","Level 4","Monster Type Spellcaster","Card Type Effect","ATK 1200","DEF 1100",""
"Red-Eyes Black Metal Dragon","Unlimited","Card Text Cannot be Normal Summoned/Set. Must first be Special Summoned (from your Deck) by Tributing ""Red-Eyes B. Dragon"" equipped with ""Metalmorph"".","Attribute DARK","Level 8","Monster Type Machine","Card Type Effect","ATK 2800","DEF 2400",""
"Barrel Dragon","Unlimited","Card Text Once per turn: You can target 1 monster your opponent controls; toss a coin 3 times and destroy it if at least 2 of the results are heads.","Attribute DARK","Level 7","Monster Type Machine","Card Type Effect","ATK 2600","DEF 2200",""
"Hannibal Necromancer","Unlimited","Card Text If this card is Normal Summoned: Place 1 Spell Counter on it (max. 1). You can remove 1 Spell Counter from this card, then target 1 face-up Trap Card on the field; destroy that target.","Attribute DARK","Level 4","Monster Type Spellcaster","Card Type Effect","ATK 1400","DEF 1800",""
"Panther Warrior","Unlimited","Card Text This card cannot declare an attack unless you Tribute 1 monster.","Attribute EARTH","Level 4","Monster Type Beast-Warrior","Card Type Effect","ATK 2000","DEF 1600",""
"Three-Headed Geedo","Unlimited","Card Text A three-headed nocturnal monster that is absolutely ruthless when fighting.","Attribute DARK","Level 4","Monster Type Fiend","Card Type Normal","ATK 1200","DEF 1400",""
"Gazelle the King of Mythical Beasts","Unlimited","Card Text This monster moves so fast that it looks like an illusion to mortal eyes.(This card is always treated as a ""Phantom Beast"" card.)","Attribute EARTH","Level 4","Monster Type Beast","Card Type Normal","ATK 1500","DEF 1200",""
"Stone Statue of the Aztecs","Unlimited","Card Text Double any Battle Damage your opponent takes when they attack this monster.","Attribute EARTH","Level 4","Monster Type Rock","Card Type Effect","ATK 300","DEF 2000",""
"Berfomet","Unlimited","Card Text When this card is Normal or Flip Summoned: You can add 1 ""Gazelle the King of Mythical Beasts"" from your Deck to your hand.","Attribute DARK","Level 5","Monster Type Fiend","Card Type Effect","ATK 1400","DEF 1800",""
"Chimera the Flying Mythical Beast","Unlimited","Card Text ""Gazelle the King of Mythical Beasts"" + ""Berfomet""(This card is always treated as a ""Phantom Beast"" card.)When this card is destroyed: You can target 1 ""Berfomet"" or 1 ""Gazelle the King of Mythical Beasts"" in your Graveyard; Special Summon that target.","Attribute WIND","Level 6","Monster Type Beast","Card Type Fusion / Effect","ATK 2100","DEF 1800",""
"Gear Golem the Moving Fortress","Unlimited","Card Text Once per turn, during your Main Phase 1: You can pay 800 Life Points; this card can attack your opponent directly this turn.","Attribute EARTH","Level 4","Monster Type Machine","Card Type Effect","ATK 800","DEF 2200",""
