"Card Name","Status","Card Text","Attribute","Level","Monster Type","Card Type","ATK","DEF","Icon"
"Garuda the Wind Spirit","Unlimited","Card Text This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing from play 1 WIND monster in your Graveyard. During your opponent's End Phase, you can select 1 face-up monster your opponent controls, and change its battle position.","Attribute WIND","Level 4","Monster Type Winged Beast","Card Type Effect","ATK 1600","DEF 1200",""
"Gilasaurus","Unlimited","Card Text You can Special Summon this card (from your hand). If Summoned this way: Activate this effect; your opponent can Special Summon 1 monster from their GY.","Attribute EARTH","Level 3","Monster Type Dinosaur","Card Type Effect","ATK 1400","DEF 400",""
"Tornado Bird","Unlimited","Card Text FLIP: Return 2 Spell or Trap Cards on the field to their owners' hands.","Attribute WIND","Level 4","Monster Type Winged Beast","Card Type Effect","ATK 1100","DEF 1000",""
"Dreamsprite","Unlimited","Card Text When attacked by your opponent's monster, select another 1 of your Monster Cards and designate it as the attack's target, then calculate damage.","Attribute LIGHT","Level 2","Monster Type Plant","Card Type Effect","ATK 300","DEF 200",""
"Supply","Unlimited","Card Text FLIP: Return 2 Fusion-Material monsters that were sent to the Graveyard as a result of a Fusion Summon to your hand.","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Effect","ATK 1300","DEF 800",""
"Maryokutai","Unlimited","Card Text During your opponent's turn, when your opponent activates a Spell Card (Quick Effect): You can Tribute this card; negate the activation, and if you do, destroy it.","Attribute WATER","Level 3","Monster Type Aqua","Card Type Effect","ATK 900","DEF 900",""
"Collected Power","Unlimited","Card Text Target 1 face-up monster on the field; equip it with all Equip Cards on the field. If any of those Equip Cards is now equipped to an incorrect target, destroy that Equip Card.","","","","","","","Icon Normal Trap"
"Royal Command","Unlimited","Card Text Flip monsters' effects cannot be activated, also their effects are negated.","","","","","","","Icon Continuous Trap"
"Riryoku Field","Unlimited","Card Text When a Spell Card that targets exactly 1 monster on the field (and no other cards) is activated: Negate the activation, and if you do, destroy it.","","","","","","","Icon Counter Trap"
"Skull Lair","Unlimited","Card Text Remove from play any number of Monster Cards in your Graveyard to destroy 1 face-up monster on the field whose Level is equal to the number of the cards you removed from play.","","","","","","","Icon Continuous Trap"
"Graverobber's Retribution","Unlimited","Card Text During each of your Standby Phases, inflict 100 points of damage to your opponent's Life Points for each of your opponent's monsters that have been removed from play.","","","","","","","Icon Continuous Trap"
"Deal of Phantom","Unlimited","Card Text Select 1 monster face-up on the field. Increase the selected monster's ATK by 100 points for each monster in your Graveyard during the turn this card is activated. The number of monster(s) are applied when this card is activated.","","","","","","","Icon Normal Trap"
"Destruction Punch","Unlimited","Card Text If the ATK of an attacking monster your opponent controls is lower than the DEF of the attacked Defense Position monster you control, destroy the attacking monster at the end of the Damage Step. (Damage calculation is applied normally.)","","","","","","","Icon Normal Trap"
"Blind Destruction","Unlimited","Card Text Once per turn, during your Standby Phase: Roll a six-sided die. If the result is 1-5, destroy all monsters on the field with the same Level as the number rolled. If it is 6, destroy all Level 6 and higher monsters on the field.","","","","","","","Icon Continuous Trap"
"The Emperor's Holiday","Unlimited","Card Text Negate all Equip Card effects on the field.","","","","","","","Icon Continuous Trap"
"Cyclon Laser","Unlimited","Card Text You can only equip this card to ""Gradius"". Increase the ATK of ""Gradius"" by 300 points. When the equipped ""Gradius"" attacks with an ATK that is higher than the DEF of a Defense Position monster, inflict the difference as Battle Damage to your opponent's Life Points.","","","","","","","Icon Equip Spell"
"Spirit Message ""I""","Unlimited","Card Text This card can only be placed on the field by the effect of ""Destiny Board"".","","","","","","","Icon Continuous Spell"
"Spirit Message ""N""","Unlimited","Card Text This card can only be placed on the field by the effect of ""Destiny Board"".","","","","","","","Icon Continuous Spell"
"Spirit Message ""A""","Unlimited","Card Text This card can only be placed on the field by the effect of ""Destiny Board"".","","","","","","","Icon Continuous Spell"
"Spirit Message ""L""","Unlimited","Card Text This card can only be placed on the field by the effect of ""Destiny Board"".","","","","","","","Icon Continuous Spell"
"Bait Doll","Unlimited","Card Text Target 1 Set card in the Spell & Trap Card Zone; reveal that target, force its activation if it is a Trap Card, then negate its effect if the activation timing is incorrect, and if you do, destroy it. (If it is not a Trap Card, return it face-down.) When this card resolves, shuffle it into the Deck instead of sending it to the Graveyard.","","","","","","","Icon Normal Spell"
"Fusion Gate","Unlimited","Card Text While this card is on the field: The turn player can Fusion Summon 1 Fusion Monster from their Extra Deck, by banishing Fusion Materials listed on it from their hand or field.","","","","","","","Icon Field Spell"
"Ekibyo Drakmord","Unlimited","Card Text The equipped monster cannot attack. Destroy the equipped monster at the end of its controller's 2nd turn after this card is activated. At that time, this card is returned to the owner's hand.","","","","","","","Icon Equip Spell"
"Miracle Dig","Unlimited","Card Text If 5 or more of your monsters are currently removed from play, return 3 of them to the Graveyard.","","","","","","","Icon Normal Spell"
"Dragonic Attack","Unlimited","Card Text This card can only be used to equip Warrior-Type monsters. The equipped monster is treated as Dragon-Type and increases the ATK and DEF of the equipped monster by 500 points.","","","","","","","Icon Equip Spell"
"Spirit Elimination","Unlimited","Card Text When monsters in the Graveyard are removed from play, remove monsters on your side of the field from play as substitutes. This card remains active until the end of the turn that it is activated. The substitutes remain removed from play.","","","","","","","Icon Normal Spell"
"Vengeful Bog Spirit","Unlimited","Card Text Monsters cannot attack the turn they are Summoned.","","","","","","","Icon Continuous Spell"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Amazoness Swords Woman","Unlimited","Card Text Your opponent takes any battle damage you would have taken from battles involving this card instead.","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Effect","ATK 1500","DEF 1600",""
"Makyura the Destructor","Forbidden","Card Text During the turn this card was sent to the Graveyard, you can activate Trap Cards from your hand. Forbidden","Attribute DARK","Level 4","Monster Type Warrior","Card Type Effect","ATK 1600","DEF 1200",""
"Amazoness Archers","Unlimited","Card Text When an opponent's monster declares an attack, while you control an ""Amazoness"" monster: Change all monsters your opponent currently controls to face-up Attack Position (Flip Effects are not activated), they lose 500 ATK, also they must attack this turn, if able.","","","","","","","Icon Normal Trap"
"Rope of Life","Unlimited","Card Text When a monster(s) is destroyed by battle and sent to your GY: Discard your entire hand (min.1), then target 1 of those monsters; Special Summon it, and if you do, it gains 800 ATK.","","","","","","","Icon Normal Trap"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Flying Elephant","Unlimited","Card Text Once per opponent's turn, if this card would be destroyed by their card effect, it is not destroyed. Once per turn, during their End Phase, if that effect was applied this turn: Apply the following effect.●During your next turn, if this card inflicts battle damage to your opponent by a direct attack, you win the Duel.","Attribute WIND","Level 4","Monster Type Beast","Card Type Effect","ATK 1850","DEF 1300",""
"Spell Shattering Arrow","Unlimited","Card Text Destroy as many face-up Spells your opponent controls as possible, and if you do, inflict 500 damage to your opponent for each.","","","","","","","Icon Quick-Play Spell"
"Amazoness Chain Master","Unlimited","Card Text When this card is destroyed by battle and sent to the GY: You can pay 1500 LP; look at your opponent's hand, then add 1 monster from their hand to your hand.","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Effect","ATK 1500","DEF 1300",""
"Viser Des","Unlimited","Card Text If this card is Normal Summoned: Target 1 monster your opponent controls; during your third Standby Phase after this effect's activation, destroy that monster. This card cannot be destroyed by battle while the targeted monster is on the field.","Attribute DARK","Level 4","Monster Type Fiend","Card Type Effect","ATK 500","DEF 1200",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Amazoness Fighter","Unlimited","Card Text You take no battle damage from attacks involving this card.","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Effect","ATK 1500","DEF 1300",""
"Amazoness Spellcaster","Unlimited","Card Text Target 1 ""Amazoness"" monster you control and 1 face-up monster your opponent controls; switch the original ATK of those targets until the end of this turn.","","","","","","","Icon Normal Spell"
"Card of Last Will","Unlimited","Card Text If the ATK of a monster(s) you control becomes 0 by a card effect: Draw until you have 5 cards in your hand.This card cannot be used in a Duel.","","","","","","","Icon Normal Trap"
"Nightmare Wheel","Unlimited","Card Text Activate this card by targeting 1 monster your opponent controls; it cannot attack or change its battle position. When it leaves the field, destroy this card. Once per turn, during your Standby Phase: Inflict 500 damage to your opponent. That monster must be on the field to activate and to resolve this effect.","","","","","","","Icon Continuous Trap"
"Dramatic Rescue","Unlimited","Card Text Activate only when a card is activated that targets an ""Amazoness"" monster. Return the targeted monster to its owner's hand and Special Summon 1 other monster from your hand.","","","","","","","Icon Normal Trap"
"Byser Shock","Unlimited","Card Text If this card is Summoned: Return all Set cards on the field to the hand.","Attribute DARK","Level 5","Monster Type Fiend","Card Type Effect","ATK 800","DEF 600",""
"Dark Ruler Ha Des","Unlimited","Card Text Cannot be Special Summoned from the GY. Negate the effects of monsters destroyed by battle with Fiend monsters you control.","Attribute DARK","Level 6","Monster Type Fiend","Card Type Effect","ATK 2450","DEF 1600",""
"Dark Balter the Terrible","Unlimited","Card Text ""Possessed Dark Soul"" + ""Frontier Wiseman""A Fusion Summon of this monster can only be conducted with the above Fusion Material Monsters. When a Normal Spell Card is activated, negate the effect by paying 1000 Life Points. The effect of an Effect Monster that this monster destroys as a result of battle is negated.","Attribute DARK","Level 5","Monster Type Fiend","Card Type Fusion / Effect","ATK 2000","DEF 1200",""
"Lesser Fiend","Unlimited","Card Text (This card is always treated as an ""Archfiend"" card.)Banish any monster destroyed by battle with this card.","Attribute DARK","Level 5","Monster Type Fiend","Card Type Effect","ATK 2100","DEF 1000",""
"Possessed Dark Soul","Unlimited","Card Text You can Tribute this face-up card; take control of all face-up Level 3 or lower monsters your opponent currently controls.","Attribute DARK","Level 3","Monster Type Fiend","Card Type Effect","ATK 1200","DEF 800",""
"Winged Minion","Unlimited","Card Text Tribute this face-up card. Select 1 face-up Fiend-Type monster on the field. Increase the ATK and DEF of the monster by 700 points as long as it remains face-up on the field.","Attribute DARK","Level 2","Monster Type Fiend","Card Type Effect","ATK 700","DEF 700",""
"Skull Knight #2","Unlimited","Card Text If you Tribute Summon a Fiend-Type monster by Tributing this monster, Special Summon 1 ""Skull Knight #2"" from your Deck. Then shuffle your Deck.","Attribute DARK","Level 3","Monster Type Fiend","Card Type Effect","ATK 1000","DEF 1200",""
"Ryu-Kishin Clown","Unlimited","Card Text When this card is Summoned (including Flip Summon and Special Summon), select 1 face-up monster on the field and change its battle position.","Attribute DARK","Level 2","Monster Type Fiend","Card Type Effect","ATK 800","DEF 500",""
"Twin-Headed Wolf","Unlimited","Card Text While you control another Fiend monster, negate the effects of Flip monsters destroyed by battle with this card.","Attribute DARK","Level 4","Monster Type Fiend","Card Type Effect","ATK 1500","DEF 1000",""
"Opticlops","Unlimited","Card Text A one-eyed giant that serves the ""Dark Ruler Ha Des"", it skewers its enemies with its sharp horn, shattering them to pieces.","Attribute DARK","Level 4","Monster Type Fiend","Card Type Normal","ATK 1800","DEF 1700",""
"Bark of Dark Ruler","Unlimited","Card Text If a Fiend-Type monster you control battles, during the Damage Step: Pay LP (in multiples of 100 points), then target the opponent's battling monster; that opponent's monster loses that much ATK and DEF, until the end of this turn.","","","","","","","Icon Normal Trap"
"Fatal Abacus","Unlimited","Card Text Each time 1 monster is sent from the field to the Graveyard, inflict 500 points of damage per card to the respective card owner's Life Points.","","","","","","","Icon Continuous Trap"
"Life Absorbing Machine","Unlimited","Card Text During your Standby Phase, gain Life Points equal to half of the total Life Points you paid during your last turn.","","","","","","","Icon Continuous Trap"
"The Puppet Magic of Dark Ruler","Unlimited","Card Text Select 1 Fiend-Type monster from your Graveyard. Remove from play monsters on your side of the field whose total Levels exactly equal the Level of the selected Fiend-Type monster. Then Special Summon the selected monster from your Graveyard.","","","","","","","Icon Normal Spell"
"Soul Demolition","Unlimited","Card Text You can only activate this card's effect when you have a Fiend-Type monster on your side of the field. Pay 500 Life Points to use this effect. Both players select 1 Monster Card from their opponent's Graveyard. Remove the selected cards from play.","","","","","","","Icon Continuous Trap"
"Double Snare","Unlimited","Card Text Destroy 1 face-up card on the field that has an effect that negates Trap Cards' effects.","","","","","","","Icon Normal Spell"
"Freed the Matchless General","Unlimited","Card Text Negate any Spell effects that target this card, and if you do, destroy that Spell Card. During your Draw Phase, instead of conducting your normal draw: You can add 1 Level 4 or lower Warrior-Type monster from your Deck to your hand. This card must be face-up on the field to activate and to resolve this effect.","Attribute EARTH","Level 5","Monster Type Warrior","Card Type Effect","ATK 2300","DEF 1700",""
"Throwstone Unit","Unlimited","Card Text Offer 1 Warrior-Type monster on your side of the field as a Tribute to destroy 1 face-up monster on the field whose DEF is equal to or lower than the ATK of this monster.","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Effect","ATK 900","DEF 2000",""
"Marauding Captain","Unlimited","Card Text Your opponent cannot target Warrior monsters for attacks, except this one. When this card is Normal Summoned: You can Special Summon 1 Level 4 or lower monster from your hand.","Attribute EARTH","Level 3","Monster Type Warrior","Card Type Effect","ATK 1200","DEF 400",""
"Ryu Senshi","Unlimited","Card Text ""Warrior Dai Grepher"" + ""Spirit Ryu""A Fusion Summon of this card can only be done with the above Fusion Materials. When a Normal Trap Card is activated (Quick Effect): You can pay 1000 LP; negate that effect. This card must be face-up on the field to activate and to resolve this effect. Negate the effects of any Spell Card that targets this card and destroy it.","Attribute EARTH","Level 6","Monster Type Warrior","Card Type Fusion / Effect","ATK 2000","DEF 1200",""
"Warrior Dai Grepher","Unlimited","Card Text The warrior who can manipulate dragons. Nobody knows his mysterious past.","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Normal","ATK 1700","DEF 1600",""
"Mysterious Guard","Unlimited","Card Text FLIP: Target 1 face-up monster on the field, and if you control a face-up Warrior-Type monster, you can target 1 additional face-up monster on the field; return the first target to the top of the Deck, then return the additional target (if any) to the hand if you still control a face-up Warrior-Type monster.","Attribute EARTH","Level 3","Monster Type Spellcaster","Card Type Effect","ATK 800","DEF 1200",""
"Frontier Wiseman","Unlimited","Card Text Negate any Spell effects that target a Warrior-Type monster you control, and if you do, destroy that card.","Attribute EARTH","Level 3","Monster Type Spellcaster","Card Type Effect","ATK 1600","DEF 800",""
"Exiled Force","Unlimited","Card Text You can Tribute this card to target 1 monster on the field; destroy that target.","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Effect","ATK 1000","DEF 1000",""
"The Hunter with 7 Weapons","Unlimited","Card Text When this card is Normal Summoned, declare 1 Type of monster. When battling that Type of monster, increase the ATK of this card by 1000 points during Damage Calculation.","Attribute EARTH","Level 3","Monster Type Warrior","Card Type Effect","ATK 1000","DEF 600",""
"Shadow Tamer","Unlimited","Card Text (This card is always treated as an ""Archfiend"" card.)FLIP: Target 1 Fiend-Type monster your opponent controls; take control of that target until the End Phase.","Attribute EARTH","Level 3","Monster Type Warrior","Card Type Effect","ATK 800","DEF 700",""
"Dragon Manipulator","Unlimited","Card Text FLIP: Take control of 1 face-up Dragon-Type monster on your opponent's side of the field until the end of the End Phase.","Attribute EARTH","Level 3","Monster Type Warrior","Card Type Effect","ATK 700","DEF 800",""
"The A. Forces","Unlimited","Card Text All Warrior-Type monsters you control gain 200 ATK for each Warrior or Spellcaster-Type monster you control.","","","","","","","Icon Continuous Spell"
"Reinforcement of the Army","Limited","Card Text Add 1 Level 4 or lower Warrior monster from your Deck to your hand. Limited","","","","","","","Icon Normal Spell"
"Array of Revealing Light","Unlimited","Card Text Declare 1 Type of monster. Any monster of the declared Type cannot declare an attack during the turn it is Normal Summoned, Flip Summoned or Special Summoned.","","","","","","","Icon Field Spell"
"The Warrior Returning Alive","Unlimited","Card Text Target 1 Warrior-Type monster in your Graveyard; add that target to your hand.","","","","","","","Icon Normal Spell"
"Ready for Intercepting","Unlimited","Card Text Target 1 Warrior or Spellcaster monster on the field; change that target to face-down Defense Position.","","","","","","","Icon Normal Trap"
"A Feint Plan","Unlimited","Card Text A player cannot attack face-down monsters during this turn.","","","","","","","Icon Normal Trap"
"Tyrant Dragon","Unlimited","Card Text During your Battle Phase, if your opponent controls a monster after this card's first attack, this card can make a second attack. Negate any Trap effects that target this card on the field, and if you do, destroy that Trap. This card cannot be Special Summoned from the GY, unless you Tribute 1 Dragon monster.","Attribute FIRE","Level 8","Monster Type Dragon","Card Type Effect","ATK 2900","DEF 2500",""
"Spear Dragon","Unlimited","Card Text During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent. If this card attacks, it is changed to Defense Position at the end of the Damage Step.","Attribute WIND","Level 4","Monster Type Dragon","Card Type Effect","ATK 1900","DEF 0",""
"Spirit Ryu","Unlimited","Card Text During your Battle Step, if this card battles (Quick Effect): You can discard 1 Dragon monster to the GY; this card gains 1000 ATK/DEF until the end of the Battle Phase.","Attribute WIND","Level 4","Monster Type Dragon","Card Type Effect","ATK 1000","DEF 1000",""
"The Dragon Dwelling in the Cave","Unlimited","Card Text A huge dragon dwelling in a cave. It is horrible when it gets angry, although it is usually quiet. It is said to preserve certain treasures.","Attribute WIND","Level 4","Monster Type Dragon","Card Type Normal","ATK 1300","DEF 2000",""
"Lizard Soldier","Unlimited","Card Text A beast soldier derived from dragons, it is small for a Dragon-Type. Moving very quickly, this monster is an excellent strategist.","Attribute WIND","Level 3","Monster Type Dragon","Card Type Normal","ATK 1100","DEF 800",""
