Card Number,Card Name,Status,Card Text,Card Type,Attribute,Level,Monster Type,ATK,DEF,Rank,Pendulum Effect,Pendulum Scale,Link
10225,Achacha Chanbara,Unlimited,"Card Text During either player's turn, when a card or effect is activated that will inflict damage when it resolves: You can Special Summon this card from your hand, and if you do, inflict 400 damage to your opponent.",Card Type Effect,Attribute FIRE,Level 3,Monster Type Warrior,ATK 1400,DEF 1400,,,,
10226,Mogmole,Unlimited,"Card Text When this card on the field is destroyed and sent to the Graveyard: You can Special Summon it from your Graveyard in face-up Defense Position. You can only use the effect of ""Mogmole"" once per Duel.",Card Type Effect,Attribute EARTH,Level 2,Monster Type Beast,ATK 800,DEF 800,,,,
10227,Grandram,Unlimited,"Card Text If your opponent controls a face-up Xyz Monster, you can Special Summon this card (from your hand) in face-up Attack Position.",Card Type Effect,Attribute EARTH,Level 4,Monster Type Rock,ATK 0,DEF 0,,,,
10228,Tripod Fish,Unlimited,"Card Text When this card is Special Summoned from the Graveyard: You can target 1 face-up Fish, Sea Serpent, or Aqua-Type monster on the field; increase its Level by 1.",Card Type Effect,Attribute WATER,Level 3,Monster Type Fish,ATK 300,DEF 300,,,,
10229,Deep Sweeper,Unlimited,"Card Text You can Tribute this card, then target 1 Spell/Trap Card on the field; destroy that target.",Card Type Effect,Attribute WATER,Level 4,Monster Type Fish,ATK 1600,DEF 1300,,,,
10230,Heroic Challenger - Extra Sword,Unlimited,Card Text An Xyz Monster that was Summoned using this card as Xyz Material gains this effect.●When it is Xyz Summoned: It gains 1000 ATK.,Card Type Effect,Attribute EARTH,Level 4,Monster Type Warrior,ATK 1000,DEF 1000,,,,
10231,Heroic Challenger - Night Watchman,Unlimited,"Card Text If this card attacks a Defense Position monster your opponent controls, before damage calculation: You can destroy that monster.",Card Type Effect,Attribute EARTH,Level 4,Monster Type Warrior,ATK 1200,DEF 300,,,,
10232,Planet Pathfinder,Unlimited,Card Text You can Tribute this card; add 1 Field Spell Card from your Deck to your hand.,Card Type Effect,Attribute EARTH,Level 4,Monster Type Machine,ATK 1000,DEF 1000,,,,
10233,Solar Wind Jammer,Unlimited,"Card Text If you control no monsters, you can Special Summon this card (from your hand), but its original ATK and DEF become halved. During each of your Standby Phases: Increase the Level of this card by 1. There can only be 1 ""Solar Wind Jammer"" on the field.",Card Type Effect,Attribute LIGHT,Level 5,Monster Type Machine,ATK 800,DEF 800,,,,
10234,Heraldic Beast Aberconway,Unlimited,"Card Text If this card is in the Graveyard: You can banish another ""Heraldic Beast Aberconway"" from your Graveyard to target 1 ""Heraldic Beast"" monster in your Graveyard; add that target to your hand. You can only use the effect of ""Heraldic Beast Aberconway"" once per turn.",Card Type Effect,Attribute WIND,Level 4,Monster Type Dragon,ATK 1800,DEF 1800,,,,
10235,Heraldic Beast Berners Falcon,Unlimited,Card Text When this card is Summoned: You can make all face-up Level 5 or higher monsters you currently control become Level 4.,Card Type Effect,Attribute WIND,Level 4,Monster Type Winged Beast,ATK 1000,DEF 1000,,,,
10236,Mermail Abysslinde,Unlimited,"Card Text If this card on the field is destroyed and sent to the Graveyard: You can Special Summon 1 ""Mermail"" monster from your Deck, except ""Mermail Abysslinde"". You can only use the effect of ""Mermail Abysslinde"" once per turn.",Card Type Effect,Attribute WATER,Level 3,Monster Type Aqua,ATK 1500,DEF 1500,,,,
10237,Mermail Abyssgunde,Unlimited,"Card Text If this card is discarded to the Graveyard: You can target 1 ""Mermail"" monster in your Graveyard, except ""Mermail Abyssgunde""; Special Summon that target. You can only use the effect of ""Mermail Abyssgunde"" once per turn.",Card Type Effect,Attribute WATER,Level 3,Monster Type Aqua,ATK 1400,DEF 1400,,,,
10238,Mermail Abysshilde,Unlimited,"Card Text If this card is sent to the Graveyard: You can Special Summon 1 ""Mermail"" monster from your hand, except ""Mermail Abysshilde"". You can only use the effect of ""Mermail Abysshilde"" once per turn.",Card Type Effect,Attribute WATER,Level 3,Monster Type Aqua,ATK 1300,DEF 1300,,,,
10239,Mermail Abyssturge,Unlimited,"Card Text When this card is Normal or Special Summoned: You can discard 1 WATER monster to the Graveyard, then target 1 Level 3 or lower WATER monster in your Graveyard; add that target to your hand. You can only use the effect of ""Mermail Abyssturge"" once per turn.",Card Type Effect,Attribute WATER,Level 4,Monster Type Fish,ATK 1700,DEF 1700,,,,
10240,Mermail Abysspike,Unlimited,"Card Text When this card is Normal or Special Summoned: You can discard 1 WATER monster to the Graveyard; add 1 Level 3 WATER monster from your Deck to your hand. You can only use this effect of ""Mermail Abysspike"" once per turn.",Card Type Effect,Attribute WATER,Level 4,Monster Type Fish,ATK 1600,DEF 800,,,,
10241,Mermail Abysslung,Unlimited,"Card Text Your opponent cannot target face-up WATER monsters for attacks, except this one. All WATER monsters you control gain 300 ATK.",Card Type Effect,Attribute WATER,Level 4,Monster Type Fish,ATK 1200,DEF 1200,,,,
10242,Mermail Abyssmegalo,Unlimited,"Card Text You can discard 2 other WATER monsters to the GY; Special Summon this card from your hand. When Summoned this way: You can add 1 ""Abyss-"" Spell/Trap from your Deck to your hand. You can Tribute 1 other Attack Position WATER monster; this card can make a second attack during each Battle Phase this turn.",Card Type Effect,Attribute WATER,Level 7,Monster Type Sea Serpent,ATK 2400,DEF 1900,,,,
10243,Stoic of Prophecy,Unlimited,"Card Text When this card is sent to the Graveyard: Add 1 Level 3 ""Prophecy"" monster from your Deck to your hand.",Card Type Effect,Attribute WATER,Level 1,Monster Type Spellcaster,ATK 300,DEF 300,,,,
10244,Hermit of Prophecy,Unlimited,"Card Text Each time a ""Spellbook"" Spell Card is activated, increase this card's Level by 2 and ATK by 300.",Card Type Effect,Attribute EARTH,Level 3,Monster Type Spellcaster,ATK 1200,DEF 1200,,,,
10245,Justice of Prophecy,Unlimited,"Card Text During your End Phase, if you have activated a ""Spellbook"" Spell Card previously this turn: You can banish this card from the field; add both 1 Level 5 or higher LIGHT or DARK Spellcaster-Type monster and 1 ""Spellbook"" Spell Card from your Deck to your hand. You can only use the effect of ""Justice of Prophecy"" once per turn.",Card Type Effect,Attribute EARTH,Level 3,Monster Type Spellcaster,ATK 1600,DEF 800,,,,
10246,Emperor of Prophecy,Unlimited,"Card Text You can banish both 1 face-up Spellcaster-Type monster you control, except this card, and 1 ""Spellbook"" card from your Graveyard to target 1 face-up monster your opponent controls; take control of that target until the End Phase. You can only use the effect of ""Emperor of Prophecy"" once per turn. This card cannot attack during the turn you activate this effect.",Card Type Effect,Attribute DARK,Level 5,Monster Type Spellcaster,ATK 2300,DEF 2300,,,,
10247,Madolche Cruffssant,Unlimited,"Card Text When this card in your possession is destroyed by your opponent's card (either by battle or by card effect) and sent to your Graveyard: Shuffle this card into the Deck. Once per turn: You can target 1 face-up ""Madolche"" card you control, except this card; return it to the hand, and if you do, increase this card's Level by 1 and ATK by 300.",Card Type Effect,Attribute EARTH,Level 3,Monster Type Beast,ATK 1500,DEF 1500,,,,
10248,Madolche Marmalmaide,Unlimited,"Card Text When this card in your possession is destroyed by your opponent's card (either by battle or by card effect) and sent to your Graveyard: Shuffle this card into the Deck. When this card is flipped face-up: You can target 1 ""Madolche"" Spell/Trap Card in your Graveyard; add that target to your hand.",Card Type Effect,Attribute EARTH,Level 4,Monster Type Spellcaster,ATK 800,DEF 800,,,,
10249,Madolche Messengelato,Unlimited,"Card Text When this card in your possession is destroyed by your opponent's card (either by battle or by card effect) and sent to your Graveyard: Shuffle this card into the Deck. When this card is Special Summoned: You can add 1 ""Madolche"" Spell/Trap Card from your Deck to your hand. You must control a face-up Beast-Type ""Madolche"" monster to activate and to resolve this effect.",Card Type Effect,Attribute EARTH,Level 4,Monster Type Warrior,ATK 1600,DEF 1600,,,,
10250,Abyss Warrior,Unlimited,"Card Text Once per turn: You can discard 1 WATER monster to the Graveyard, then target 1 monster in either player's Graveyard; return that target to either the top or bottom of the Deck.",Card Type Effect,Attribute WATER,Level 4,Monster Type Aqua,ATK 1800,DEF 1800,,,,
10251,Snowman Creator,Unlimited,"Card Text When this card is Summoned: You can create a number of Ice Counters equal to the number of WATER monsters you control, place them on a face-up monster(s) your opponent controls, then, if you placed 3 or more Ice Counters by this effect, you can destroy 1 card your opponent controls.",Card Type Effect,Attribute WATER,Level 4,Monster Type Machine,ATK 1600,DEF 1600,,,,
10252,Fishborg Planter,Unlimited,"Card Text Once, while this card is in the GY: You can send the top card of your Deck to the GY, then, if it is a WATER monster, Special Summon this card from the GY. You can only use this effect of ""Fishborg Planter"" once per turn.",Card Type Effect,Attribute WATER,Level 2,Monster Type Fish,ATK 200,DEF 200,,,,
10253,Nimble Angler,Unlimited,"Card Text If this card is sent from the hand or Deck to the Graveyard: You can Special Summon up to 2 Level 3 or lower ""Nimble"" monsters from your Deck, except ""Nimble Angler"".",Card Type Effect,Attribute WATER,Level 2,Monster Type Fish,ATK 600,DEF 600,,,,
10254,Shore Knight,Unlimited,"Card Text Once per turn, if the battle position of this face-up card on the field is changed: Send 1 WATER monster from your Deck to the GY.",Card Type Effect,Attribute WATER,Level 4,Monster Type Warrior,ATK 1400,DEF 1200,,,,
10255,Mecha Sea Dragon Plesion,Unlimited,"Card Text If you control a face-up Sea Serpent-Type monster, you can Normal Summon this card without Tributing. Once per turn: You can Tribute 1 WATER monster to target 1 face-up card your opponent controls; destroy that target.",Card Type Effect,Attribute WATER,Level 5,Monster Type Machine,ATK 2300,DEF 2300,,,,
10256,Metallizing Parasite - Soltite,Unlimited,"Card Text Once per turn, you can either: Target 1 face-up monster you control; equip this card to that target, OR: Unequip this card and Special Summon it in face-up Attack Position. While equipped by this effect, the equipped monster cannot be targeted or destroyed by your opponent's monster effects. (A monster can only be equipped with 1 Union Monster at a time. If the equipped monster would be destroyed by battle, destroy this card instead.)",Card Type Union / Effect,Attribute WATER,Level 7,Monster Type Aqua,ATK 1000,DEF 1000,,,,
10257,Moulinglacia the Elemental Lord,Unlimited,"Card Text Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by having exactly 5 WATER monsters in your GY. If this card is Special Summoned: Discard 2 random cards from your opponent's hand (or their entire hand, if less than 2). You can only use this effect of ""Moulinglacia the Elemental Lord"" once per turn. If this face-up card leaves the field, skip the Battle Phase of your next turn.",Card Type Effect,Attribute WATER,Level 8,Monster Type Sea Serpent,ATK 2800,DEF 2200,,,,
10258,House Duston,Unlimited,"Card Text When this face-up card on the field is destroyed by your opponent's card (either by battle, and it was face-up at the start of the Damage Step, or by card effect) and sent to the Graveyard: You can Special Summon any ""Duston"" monsters of your choice from your hand and/or Deck to anywhere on the field, but you must Special Summon an equal number of monsters on each side.",Card Type Effect,Attribute LIGHT,Level 1,Monster Type Fiend,ATK 0,DEF 0,,,,
10259,Puny Penguin,Unlimited,"Card Text When this card is sent from the field to the Graveyard after being flipped face-up: Target 1 ""Penguin"" monster in your Graveyard, except ""Puny Penguin""; Special Summon that target in face-up Attack Position or face-down Defense Position.",Card Type Effect,Attribute WATER,Level 1,Monster Type Aqua,ATK 400,DEF 400,,,,
10260,Missing Force,Unlimited,Card Text If you control no other monsters: You can Tribute this card to target 1 monster your opponent controls; take control of that target until the End Phase. You cannot Special Summon or conduct your Battle Phase during the turn you activate this effect.,Card Type Effect,Attribute DARK,Level 4,Monster Type Warrior,ATK 1500,DEF 1500,,,,
10261,Number C32: Shark Drake Veiss,Unlimited,"Card Text 4 Level 4 WATER monstersYou can also Xyz Summon this card by using a ""Number 32: Shark Drake"" you control as the Xyz Material. (Xyz Materials attached to that monster also become Xyz Materials on this card.) During either player's turn, if your Life Points are 1000 or less: You can detach 1 Xyz Material from this card and banish 1 monster from your Graveyard to target 1 face-up monster on the field; that target's ATK and DEF become 0 until the End Phase.",Card Type Xyz / Effect,Attribute WATER,,Monster Type Sea Serpent,ATK 2800,DEF 2800,Rank 4,,,
10262,One-Eyed Skill Gainer,Unlimited,Card Text 3 Level 4 monstersYou can detach 1 Xyz Material from this card to target 1 face-up Xyz Monster your opponent controls; this card's name and original effect become the same as that monster. This effect can only be used once while this card is face-up on the field.,Card Type Xyz / Effect,Attribute LIGHT,,Monster Type Warrior,ATK 2500,DEF 2500,Rank 4,,,
10263,Gagaga Cowboy,Unlimited,"Card Text 2 Level 4 monstersOnce per turn: You can detach 1 Xyz Material from this card; apply this effect, depending on this card's current battle position.●Attack Position: If this card attacks an opponent's monster this turn, it gains 1000 ATK, also the opponent's monster loses 500 ATK, during the Damage Step only.●Defense Position: Inflict 800 damage to your opponent.",Card Type Xyz / Effect,Attribute EARTH,,Monster Type Warrior,ATK 1500,DEF 2400,Rank 4,,,
10264,Heroic Champion - Gandiva,Unlimited,"Card Text 2 Level 4 Warrior-Type monstersOnce per turn, when a Level 4 or lower monster(s) is Special Summoned to your opponent's side of the field (except during the Damage Step): You can detach 1 Xyz Material from this card; destroy that Special Summoned monster(s).",Card Type Xyz / Effect,Attribute EARTH,,Monster Type Warrior,ATK 2100,DEF 2100,Rank 4,,,
10265,Heroic Champion - Kusanagi,Unlimited,"Card Text 3 Level 4 Warrior-Type monstersOnce per turn, during either player's turn, when a Trap Card is activated: You can detach 1 Xyz Material from this card; negate the activation, and if you do, destroy it, then this card gains 500 ATK.",Card Type Xyz / Effect,Attribute EARTH,,Monster Type Warrior,ATK 2500,DEF 2500,Rank 4,,,
10266,Number 9: Dyson Sphere,Unlimited,"Card Text 2 Level 9 monstersOnce per Battle Step, during your opponent's turn, if this card with Xyz Material is attacked: Negate the attack (this is a Quick Effect). When this card is targeted for an attack while it has no Xyz Materials: You can target 2 monsters in your Graveyard; attach those targets to this card as Xyz Materials. During your Main Phase 1: You can detach 1 Xyz Material from this card; this card can attack your opponent directly this turn. Your opponent must control a monster with higher ATK than this card for you to activate and to resolve this effect.",Card Type Xyz / Effect,Attribute LIGHT,,Monster Type Machine,ATK 2800,DEF 2800,Rank 9,,,
10267,Number 8: Heraldic King Genom-Heritage,Unlimited,"Card Text 2 Level 4 ""Heraldic Beast"" monstersOnce per turn: You can target 1 face-up Xyz Monster your opponent controls; this card's name and original ATK become that monster's name and current ATK, and this card's effect becomes that monster's original effect, then that monster's ATK becomes 0 and its effects are negated. These changes last until the End Phase.",Card Type Xyz / Effect,Attribute LIGHT,,Monster Type Psychic,ATK 2400,DEF 2400,Rank 4,,,
10268,Mermail Abyssgaios,Unlimited,"Card Text 2 Level 7 WATER monstersWhile this face-up card has Xyz Material, Level 5 or higher monsters cannot attack. Once per turn, during either player's turn: You can detach 1 Xyz Material from this card; negate the effects of all face-up monsters your opponent currently controls that have less ATK than this card, until the end of the turn.",Card Type Xyz / Effect,Attribute WATER,,Monster Type Aqua,ATK 2800,DEF 2800,Rank 7,,,
10269,Empress of Prophecy,Unlimited,"Card Text 2 Level 5 Spellcaster-Type monstersThis card gains 300 ATK for each Xyz Material attached to a monster you control. Once per turn: You can detach 1 Xyz Material from this card; shuffle your Deck, then excavate the top 5 cards of your Deck, destroy monsters on the field up to the number of ""Spellbook"" cards excavated, also, after that, place the excavated cards on the top of the Deck in any order.",Card Type Xyz / Effect,Attribute LIGHT,,Monster Type Spellcaster,ATK 2000,DEF 1700,Rank 5,,,
10270,Madolche Queen Tiaramisu,Unlimited,"Card Text 2 Level 4 ""Madolche"" monstersOnce per turn: You can detach 1 Xyz Material from this card, then target up to 2 ""Madolche"" cards in your Graveyard; shuffle those cards into the Deck, also, after that, shuffle cards your opponent controls into the Deck, up to the number of ""Madolche"" cards returned.",Card Type Xyz / Effect,Attribute EARTH,,Monster Type Fairy,ATK 2200,DEF 2100,Rank 4,,,
10271,Snowdust Giant,Unlimited,"Card Text 2 Level 4 WATER monstersOnce per turn: You can detach 1 Xyz Material from this card; reveal any number of WATER monsters from your hand, and place that many Ice Counters on face-up monsters on the field. Non-WATER monsters on the field lose 200 ATK for each Ice Counter on the field.",Card Type Xyz / Effect,Attribute WATER,,Monster Type Beast-Warrior,ATK 2200,DEF 2200,Rank 4,,,
10272,Gagagigo the Risen,Unlimited,Card Text 3 Level 4 monsters,Card Type Xyz,Attribute WATER,,Monster Type Reptile,ATK 2950,DEF 2950,Rank 4,,,
10273,One-Shot Wand,Unlimited,"Card Text Equip only to a Spellcaster-Type monster. It gains 800 ATK. If the equipped monster attacks or is attacked, after damage calculation: You can destroy this card, and if you do, draw 1 card.",Icon Equip Spell,,,,,,,,,
10274,Different Dimension Deepsea Trench,Unlimited,"Card Text When this card resolves: Banish 1 WATER monster from your hand, Graveyard, or face-up on your field. Then, when this face-up card on the field is destroyed: Special Summon that banished monster to your side of the field.",Icon Continuous Spell,,,,,,,,,
10275,Tannhauser Gate,Unlimited,Card Text Target 2 monsters you control of the same Type with 1000 or less ATK; both monsters' Levels become the combined Levels of those 2 monsters.,Icon Normal Spell,,,,,,,,,
10276,Gravity Blaster,Unlimited,"Card Text Equip only to a Machine-Type monster. Once per turn: You can activate this effect; it permanently gains 400 ATK. (This ATK gain remains even if this card leaves the field or the monster becomes unaffected by card effects.) If it battles an opponent's monster, that monster's effect is negated during the Battle Phase only.",Icon Equip Spell,,,,,,,,,
10277,Advanced Heraldry Art,Unlimited,"Card Text Target 2 ""Heraldic Beast"" monsters in your Graveyard; Special Summon both those targets. Immediately after this card resolves, Xyz Summon 1 Xyz Monster using those 2 monsters only.",Icon Normal Spell,,,,,,,,,
10278,Abyss-scale of the Kraken,Unlimited,"Card Text Equip only to a ""Mermail"" monster. It gains 400 ATK. When a monster effect that was activated on your opponent's side of the field resolves, negate that effect, then send this card to the Graveyard.",Icon Equip Spell,,,,,,,,,
10279,"Lemuria, the Forgotten City",Unlimited,"Card Text This card's name is treated as ""Umi"". All WATER monsters gain 200 ATK and DEF. Once per turn, during your Main Phase: You can have all WATER monsters you currently control gain Levels equal to the number of WATER monsters you currently control, until the End Phase.",Icon Field Spell,,,,,,,,,
10280,Spellbook of Eternity,Unlimited,"Card Text Target 1 of your banished ""Spellbook"" Spell Cards, except ""Spellbook of Eternity""; add that target to your hand. You can only activate 1 ""Spellbook of Eternity"" per turn.",Icon Normal Spell,,,,,,,,,
10281,Spellbook of Fate,Unlimited,"Card Text If you control a Spellcaster-Type monster: You can banish up to 3 ""Spellbook"" Spell Cards from your Graveyard; apply this effect, depending on the number of Spell Cards banished for this card's activation. You can only activate 1 ""Spellbook of Fate"" per turn.●1: Return 1 Set Spell/Trap Card on the field to the hand.●2: Change 1 monster on the field to face-down Defense Position or face-up Attack Position.●3: Banish 1 card your opponent controls.",Icon Quick-Play Spell,,,,,,,,,
10282,The Grand Spellbook Tower,Unlimited,"Card Text Once per turn, during your Standby Phase, if you have a Spellcaster-Type monster on your side of the field or in your Graveyard: You can place 1 ""Spellbook"" Spell Card from your Graveyard on the bottom of your Deck, except ""The Grand Spellbook Tower"", then draw 1 card. When this card in your possession is destroyed by your opponent's card and sent to your Graveyard: You can Special Summon 1 Spellcaster-Type monster from your hand or Deck whose Level is less than or equal to the number of ""Spellbook"" Spell Cards in your Graveyard.",Icon Field Spell,,,,,,,,,
10283,Madolche Ticket,Unlimited,"Card Text When a ""Madolche"" card(s) is returned from your side of the field or Graveyard to your hand or Main Deck by a card effect: Add 1 ""Madolche"" monster from your Deck to your hand. If you control a face-up Fairy-Type ""Madolche"" monster, you can Special Summon the monster from your Deck in face-up Attack Position instead of adding it to your hand. You can only use the effect of ""Madolche Ticket"" once per turn.",Icon Continuous Spell,,,,,,,,,
10284,Forbidden Dress,Unlimited,"Card Text Target 1 face-up monster on the field; until the end of this turn, that target loses 600 ATK, but cannot be targeted or destroyed by other card effects.",Icon Quick-Play Spell,,,,,,,,,
10285,Final Gesture,Unlimited,"Card Text Target 1 face-up Level 3 monster you control; Special Summon 1 monster with the same name as that monster from your hand or Graveyard. Its effects are negated. During the End Phase of this turn, destroy the face-up monster that was targeted by this card.",Icon Normal Spell,,,,,,,,,
10286,Mind Pollutant,Unlimited,Card Text Discard 1 monster to target 1 monster of that Level your opponent controls; take control of that target until the End Phase.,Icon Normal Spell,,,,,,,,,
10287,The Humble Sentry,Unlimited,"Card Text Reveal your hand, choose 1 card, and shuffle it into the Deck.",Icon Normal Spell,,,,,,,,,
10288,Battle Break,Unlimited,"Card Text When an opponent's monster declares an attack: Your opponent can reveal 1 monster in their hand to negate this card's effect, otherwise destroy the attacking monster, then end the Battle Phase.",Icon Normal Trap,,,,,,,,,
10289,Bubble Bringer,Unlimited,Card Text Level 4 or higher monsters cannot attack directly. During your turn: You can send this face-up card from the field to the Graveyard to target 2 Level 3 or lower WATER monsters with the same name in your Graveyard; Special Summon those targets. Their effects are negated.,Icon Continuous Trap,,,,,,,,,
10290,Heroic Gift,Unlimited,"Card Text If your opponent's Life Points are 2000 or less: Make their Life Points 8000, and if you do, draw 2 cards. You can only activate 1 ""Heroic Gift"" per turn.",Icon Normal Trap,,,,,,,,,
10291,Heroic Advance,Unlimited,"Card Text When a face-up ""Heroic"" monster you control is targeted for an attack: Target another face-up Level 4 or lower ""Heroic"" monster you control; double its ATK during this Battle Phase, then switch the attack target to it and conduct damage calculation, but monsters cannot be destroyed by this battle.",Icon Normal Trap,,,,,,,,,
10292,Xyz Xtreme !!,Unlimited,"Card Text When an Xyz Monster you control is destroyed by battle: Pay 1000 Life Points; you reveal 1 Xyz Monster from the Extra Deck with a Rank less than or equal to that destroyed monster's, and so can your opponent (simultaneously). The player who revealed the monster with lower ATK takes damage equal to the difference between the revealed monsters' ATK's. If the opponent doesn't reveal a monster, inflict damage to your opponent equal to the ATK of your revealed monster.",Icon Normal Trap,,,,,,,,,
10293,Abyss-squall,Unlimited,"Card Text Target 3 ""Mermail"" monsters in your Graveyard; Special Summon those targets in face-up Defense Position. Their effects are negated and they cannot declare an attack. Destroy them during the End Phase.",Icon Normal Trap,,,,,,,,,
