"Card Name","Status","Card Text","Attribute","Level","Monster Type","Card Type","ATK","DEF","Icon","Rank"
"Destructive Draw","Unlimited","Card Text If either player has no cards in their hand at the start of their Draw Phase, they can draw 1 more card in addition to their normal draw. This card's controller loses 700 Life Points during their End Phase. (If less than 700, they become 0 instead.) When this face-up card is removed from the field, inflict 3000 damage to the player who controlled it.","","","","","","","Icon Continuous Trap",""
"Shield Spear","Unlimited","Card Text Target 1 face-up monster on the field; it gains 400 ATK/DEF until the end of this turn.","","","","","","","Icon Normal Trap",""
"Strike Slash","Unlimited","Card Text When a monster you control declares an attack: Until the End Phase, that monster gains 700 ATK, also, if it attacks a Defense Position monster, inflict piercing battle damage to your opponent.","","","","","","","Icon Normal Trap",""
"Spell Reclamation","Unlimited","Card Text Discard 1 card and chain this card to a Spell Card you activated. Whenever that Spell Card is sent to the Graveyard, return it to its owner's hand.","","","","","","","Icon Normal Trap",""
"Trap Reclamation","Unlimited","Card Text Discard 1 card and chain this card to a Trap Card you activated. Whenever that Trap Card is sent to the Graveyard, return it to its owner's hand.","","","","","","","Icon Normal Trap",""
"Gift Card","Unlimited","Card Text Your opponent gains 3000 Life Points.","","","","","","","Icon Normal Trap",""
"The Gift of Greed","Unlimited","Card Text Your opponent draws 2 cards.","","","","","","","Icon Normal Trap",""
"Counter Counter","Unlimited","Card Text Negate the activation of a Counter Trap Card, and destroy it.","","","","","","","Icon Counter Trap",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Volcanic Rocket","Unlimited","Card Text When this card is Summoned: You can add 1 ""Blaze Accelerator"" card from your Deck or Graveyard to your hand.","Attribute FIRE","Level 4","Monster Type Pyro","Card Type Effect","ATK 1900","DEF 1400","",""
"Felgrand Dragon","Unlimited","Card Text Cannot be Special Summoned except from the Graveyard, and only if it was sent there from the field. If this card is Special Summoned: Target 1 monster in your Graveyard; this card gains ATK equal to that monster's Level x 200.","Attribute LIGHT","Level 8","Monster Type Dragon","Card Type Effect","ATK 2800","DEF 2800","",""
"Darkblaze Dragon","Unlimited","Card Text If this card is Special Summoned from the Graveyard: Its ATK and DEF become double its original ATK and DEF. If this card destroys a monster by battle and sends it to the Graveyard: Inflict damage to your opponent equal to that monster's original ATK.","Attribute FIRE","Level 7","Monster Type Dragon","Card Type Effect","ATK 1200","DEF 1000","",""
"Herald of Creation","Unlimited","Card Text Once per turn: You can discard 1 card, then target 1 Level 7 or higher monster in your Graveyard; add that target to your hand.","Attribute LIGHT","Level 4","Monster Type Spellcaster","Card Type Effect","ATK 1800","DEF 600","",""
"Decoy Dragon","Unlimited","Card Text If this card is targeted for an attack: Target 1 Level 7 or higher Dragon-Type monster in your Graveyard; Special Summon it, and if you do, change the attack target to it and perform damage calculation.","Attribute FIRE","Level 2","Monster Type Dragon","Card Type Effect","ATK 300","DEF 200","",""
"Trade-In","Unlimited","Card Text Discard 1 Level 8 monster; draw 2 cards.","","","","","","","Icon Normal Spell",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"The Big Saturn","Unlimited","Card Text Cannot be Special Summoned from the hand or Deck. Once per turn: You can discard 1 card and pay 1000 Life Points; this card gains 1000 ATK until the End Phase. When this card in your possession is destroyed by your opponent's card effect and sent to your Graveyard: Both players take damage equal to this card's ATK in the Graveyard.","Attribute DARK","Level 8","Monster Type Machine","Card Type Effect","ATK 2800","DEF 2200","",""
"Elemental HERO Plasma Vice","Unlimited","Card Text ""Elemental HERO Sparkman"" + ""Elemental HERO Bladedge""Must be Fusion Summoned and cannot be Special Summoned by other ways. If this card attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. You can discard 1 card to target 1 Attack Position monster your opponent controls; destroy that target.","Attribute EARTH","Level 8","Monster Type Warrior","Card Type Fusion / Effect","ATK 2600","DEF 2300","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Over Limit","Unlimited","Card Text Pay 500 Life Points. Special Summon from both players' Graveyards as many Normal Monsters as possible with 1000 or less ATK that were destroyed by battle this turn.","","","","","","","Icon Normal Trap",""
"Contact Out","Unlimited","Card Text Return 1 ""Neos"" Fusion Monster you control to the Extra Deck. If all the Fusion Material Monsters listed on that Fusion Monster are in your Deck, you can Special Summon them.","","","","","","","Icon Quick-Play Spell",""
"Swing of Memories","Unlimited","Card Text Target 1 Normal Monster in your GY; Special Summon it, but destroy it during the End Phase of this turn.","","","","","","","Icon Normal Spell",""
"Evil HERO Inferno Wing","Unlimited","Card Text ""Elemental HERO Avian"" + ""Elemental HERO Burstinatrix""Must be Special Summoned with ""Dark Fusion"" and cannot be Special Summoned by other ways. If this card attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. When this card destroys a monster by battle and sends it to the Graveyard: Inflict damage to your opponent equal to either the ATK or DEF (whichever is higher) of the destroyed monster in the Graveyard.","Attribute FIRE","Level 6","Monster Type Fiend","Card Type Fusion / Effect","ATK 2100","DEF 1200","",""
"Evil HERO Malicious Edge","Unlimited","Card Text If your opponent controls a monster, you can Tribute Summon this card face-up with 1 Tribute. If this card attacks a Defense Position monster, inflict piercing battle damage.","Attribute EARTH","Level 7","Monster Type Fiend","Card Type Effect","ATK 2600","DEF 1800","",""
"Evil HERO Infernal Gainer","Unlimited","Card Text During your Main Phase 1: You can banish this card from the field, then target 1 Fiend monster you control; that target can make a second attack during each Battle Phase while you control it face-up. Once per turn, during your second Standby Phase after this card was banished to activate this effect: Special Summon this card in Attack Position.","Attribute EARTH","Level 4","Monster Type Fiend","Card Type Effect","ATK 1600","DEF 0","",""
"Evil HERO Lightning Golem","Unlimited","Card Text ""Elemental HERO Sparkman"" + ""Elemental HERO Clayman""Must be Special Summoned with ""Dark Fusion"" and cannot be Special Summoned by other ways. Once per turn: You can target 1 monster on the field; destroy that target.","Attribute LIGHT","Level 6","Monster Type Fiend","Card Type Fusion / Effect","ATK 2400","DEF 1500","",""
"Evil HERO Dark Gaia","Unlimited","Card Text 1 Fiend-Type monster + 1 Rock-Type monsterMust be Special Summoned with ""Dark Fusion"" and cannot be Special Summoned by other ways. The original ATK of this card is equal to the combined original ATK of the Fusion Material Monsters used to Fusion Summon it. When this card declares an attack: You can change all Defense Position monsters your opponent controls to face-up Attack Position. (Flip Effects are not activated at this time.)","Attribute EARTH","Level 8","Monster Type Fiend","Card Type Fusion / Effect","ATK ?","DEF 0","",""
"Dark Fusion","Unlimited","Card Text Fusion Summon 1 Fiend Fusion Monster from your Extra Deck, using monsters from your hand or field as Fusion Material. Your opponent cannot target it with card effects this turn.","","","","","","","Icon Normal Spell",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Cloudian - Eye of the Typhoon","Unlimited","Card Text This card cannot be destroyed by battle. If this card is in face-up Defense Position, destroy it. When this card declares an attack, change the battle positions of all face-up monsters, except ""Cloudian"" monsters.","Attribute WIND","Level 8","Monster Type Aqua","Card Type Effect","ATK 3000","DEF 1000","",""
"Cloudian - Ghost Fog","Unlimited","Card Text This card cannot be Special Summoned. All Battle Damage to either player from a battle involving this monster becomes 0. If this card is destroyed by battle, distribute new Fog Counters equal to the Level of the monster that destroyed it among face-up monsters.","Attribute WATER","Level 1","Monster Type Fiend","Card Type Effect","ATK 0","DEF 0","",""
"Cloudian - Nimbusman","Unlimited","Card Text This card cannot be destroyed by battle. If this card is in face-up Defense Position, destroy it. You can Tribute any number of WATER monsters for the Tribute Summon of this card. When this card is Tribute Summoned, place 1 Fog Counter on it for each WATER monster you Tributed. This card gains 500 ATK for each Fog Counter on the field.","Attribute WATER","Level 5","Monster Type Fairy","Card Type Effect","ATK 1000","DEF 1000","",""
"Cloudian - Sheep Cloud","Unlimited","Card Text When this card is destroyed by battle and sent to the Graveyard, Special Summon 2 ""Cloudian Tokens"" (Fairy-Type/WATER/Level 1/ATK 0/DEF 0) in Defense Position. These tokens cannot be Tributed for a Tribute Summon, unless it is for a ""Cloudian"" monster.","Attribute WATER","Level 1","Monster Type Fairy","Card Type Effect","ATK 0","DEF 0","",""
"Cloudian - Poison Cloud","Unlimited","Card Text When this card is destroyed by battle and sent to the Graveyard, if it was face-up at the start of the Damage Step: Destroy the monster that destroyed it, and if you do, inflict 800 damage to your opponent.","Attribute WATER","Level 3","Monster Type Fiend","Card Type Effect","ATK 0","DEF 1000","",""
"Diamond-Dust Cyclone","Unlimited","Card Text Select 1 monster with 4 or more Fog Counters. Destroy it and then draw 1 card for every 4 Fog Counters that were on it.","","","","","","","Icon Quick-Play Spell",""
"Summon Cloud","Unlimited","Card Text Once per turn, during your Main Phase, if you don't control any monsters, you can Special Summon 1 Level 4 or lower ""Cloudian"" monster from your hand or from either player's Graveyard. If you Special Summon a monster from the Graveyard with this effect, destroy this card.","","","","","","","Icon Continuous Spell",""
"Lucky Cloud","Unlimited","Card Text During the End Phase, if you Summoned 2 or more ""Cloudian"" monsters with the same name this turn, draw 2 cards.","","","","","","","Icon Normal Spell",""
"Natural Disaster","Unlimited","Card Text Inflict 500 damage to your opponent each time a card(s) they control is destroyed and sent to the Graveyard by the effect of a ""Cloudian"" monster.","","","","","","","Icon Continuous Trap",""
"Rain Storm","Unlimited","Card Text Select 1 ""Cloudian"" monster you control. Reduce that monster's ATK by 1000 or 2000 points, and apply the appropriate effect:●1000 points: Destroy 1 Spell or Trap Card your opponent controls.●2000 points: Destroy 2 cards your opponent controls.","","","","","","","Icon Normal Trap",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Elemental HERO Chaos Neos","Unlimited","Card Text ""Elemental HERO Neos"" + ""Neo-Spacian Dark Panther"" + ""Neo-Spacian Glow Moss""Must first be Special Summoned (from your Extra Deck) by shuffling the above cards you control into the Deck. (You do not use ""Polymerization""). Once per turn, during the End Phase: Shuffle this card into the Extra Deck, and if you do, Set all face-up monsters on the field. Once per turn, during your Main Phase 1: You can toss a coin 3 times.●3 Heads: Destroy all monsters your opponent controls.●2 Heads: For the rest of this turn, the effects of all face-up monsters your opponent controls are negated.●1 Head: Return all monsters you control to the hand.","Attribute DARK","Level 9","Monster Type Warrior","Card Type Fusion / Effect","ATK 3000","DEF 2500","",""
"Chamberlain of the Six Samurai","Unlimited","Card Text The Six Samurai are supported from the shadows by this silent and mysterious warrior. His past is unknown to them, but his countless scars are proof of his experience.","Attribute EARTH","Level 3","Monster Type Warrior","Card Type Normal","ATK 200","DEF 2000","",""
"Cloudian - Smoke Ball","Unlimited","Card Text Smoke Balls are newly born Cloudians. They fear being alone, and would rather swing and sway in the sky with their friends.","Attribute WATER","Level 1","Monster Type Fairy","Card Type Normal","ATK 200","DEF 600","",""
"Cloudian - Acid Cloud","Unlimited","Card Text This card cannot be destroyed by battle. If this card is in face-up Defense Position, destroy it. When you Normal Summon this card, place 1 Fog Counter on it for each ""Cloudian"" monster on the field. You can remove 2 Fog Counters from this card to destroy 1 Spell or Trap Card.","Attribute WATER","Level 4","Monster Type Fairy","Card Type Effect","ATK 500","DEF 0","",""
"Cloudian - Cirrostratus","Unlimited","Card Text This card cannot be destroyed by battle. If this card is in face-up Defense Position, destroy it. When you Normal Summon this card, place 1 Fog Counter on it for each ""Cloudian"" monster on the field. You can remove 2 Fog Counters from this card to destroy 1 monster on the field.","Attribute WATER","Level 4","Monster Type Fairy","Card Type Effect","ATK 900","DEF 0","",""
"Cloudian - Altus","Unlimited","Card Text This card cannot be destroyed by battle. If this card is in face-up Defense Position, destroy it. When you Normal Summon this card, place 1 Fog Counter on it for each ""Cloudian"" monster on the field. You can remove 3 Fog Counters from anywhere on the field to discard 1 random card from your opponent's hand.","Attribute WATER","Level 4","Monster Type Fairy","Card Type Effect","ATK 1300","DEF 0","",""
"Cloudian - Turbulence","Unlimited","Card Text This card cannot be destroyed by battle. If this card is in face-up Defense Position, destroy it. When you Normal Summon this card, place 1 Fog Counter on it for each ""Cloudian"" monster on the field. You can remove 1 Fog Counter from this card to Special Summon 1 ""Cloudian - Smoke Ball"" from your Deck or from either player's Graveyard.","Attribute WATER","Level 4","Monster Type Fairy","Card Type Effect","ATK 800","DEF 0","",""
"Gladiator Beast Alexander","Unlimited","Card Text This card cannot be Special Summoned except by the effect of ""Gladiator Beast Dimacari"". If this card was Special Summoned, it is unaffected by the effects of Spell Cards. At the end of the Battle Phase, if this card attacked or was attacked, you can return it to the Deck to Special Summon 1 ""Gladiator Beast"" monster from your Deck, except ""Gladiator Beast Alexander"".","Attribute LIGHT","Level 6","Monster Type Beast","Card Type Effect","ATK 2400","DEF 600","",""
"Gladiator Beast Spartacus","Unlimited","Card Text This card cannot be Special Summoned except by the effect of ""Gladiator Beast Hoplomus"". When this card is Special Summoned, add 1 ""Gladiator Beast"" Equip Spell Card from your Deck to your hand. At the end of the Battle Phase, if this card attacked or was attacked, you can return it to the Deck to Special Summon 1 ""Gladiator Beast"" monster from your Deck, except ""Gladiator Beast Spartacus"".","Attribute EARTH","Level 5","Monster Type Dinosaur","Card Type Effect","ATK 2200","DEF 1600","",""
"Gladiator Beast Murmillo","Unlimited","Card Text When this card is Special Summoned by the effect of a ""Gladiator Beast"" monster: Target 1 face-up monster; destroy that target. At the end of the Battle Phase, if this card attacked or was attacked: You can shuffle it into the Deck; Special Summon 1 ""Gladiator Beast"" monster from your Deck, except ""Gladiator Beast Murmillo"".","Attribute WATER","Level 3","Monster Type Fish","Card Type Effect","ATK 800","DEF 400","",""
"Gladiator Beast Bestiari","Unlimited","Card Text If this card is Special Summoned by the effect of a ""Gladiator Beast"" monster: Target 1 Spell/Trap Card on the field; destroy that target. At the end of the Battle Phase, if this card attacked or was attacked: You can shuffle it into the Deck; Special Summon 1 ""Gladiator Beast"" monster from your Deck, except ""Gladiator Beast Bestiari"".","Attribute WIND","Level 4","Monster Type Winged Beast","Card Type Effect","ATK 1500","DEF 800","",""
"Gladiator Beast Laquari","Unlimited","Card Text If this card was Special Summoned by the effect of a ""Gladiator Beast"" monster, its original ATK becomes 2100. At the end of the Battle Phase, if this card attacked or was attacked: You can shuffle it into the Deck; Special Summon 1 ""Gladiator Beast"" monster from your Deck, except ""Gladiator Beast Laquari"".","Attribute FIRE","Level 4","Monster Type Beast-Warrior","Card Type Effect","ATK 1800","DEF 400","",""
"Gladiator Beast Hoplomus","Unlimited","Card Text If this card was Special Summoned by the effect of a ""Gladiator Beast"" monster, its original DEF becomes 2400. At the end of the Battle Phase, if this card attacked or was attacked: You can shuffle it into the Deck; Special Summon 1 ""Gladiator Beast"" monster from your Deck, except ""Gladiator Beast Hoplomus"".","Attribute EARTH","Level 4","Monster Type Rock","Card Type Effect","ATK 700","DEF 2100","",""
"Gladiator Beast Dimacari","Unlimited","Card Text If this card was Special Summoned by the effect of a ""Gladiator Beast"" monster, it can attack twice during each Battle Phase. At the end of the Battle Phase, if this card attacked or was attacked, you can return it to the Deck to Special Summon 1 ""Gladiator Beast"" monster from your Deck, except ""Gladiator Beast Dimacari"".","Attribute EARTH","Level 4","Monster Type Beast","Card Type Effect","ATK 1600","DEF 1200","",""
"Gladiator Beast Secutor","Unlimited","Card Text If this card was Special Summoned by the effect of a ""Gladiator Beast"" monster, then at the end of any Battle Phase in which this card attacked or was attacked: Special Summon 2 ""Gladiator Beast"" monsters from your Deck, except ""Gladiator Beast Secutor"".","Attribute WIND","Level 4","Monster Type Reptile","Card Type Effect","ATK 400","DEF 300","",""
"Test Ape","Unlimited","Card Text When this card is destroyed by battle and sent to the Graveyard, you can Special Summon 1 Level 4 or lower ""Gladiator Beast"" monster from your Deck.","Attribute EARTH","Level 2","Monster Type Beast","Card Type Effect","ATK 700","DEF 300","",""
"Witch Doctor of Sparta","Unlimited","Card Text Inflict 500 damage to your opponent each time a monster(s) is Special Summoned from either player's Deck.","Attribute EARTH","Level 4","Monster Type Spellcaster","Card Type Effect","ATK 400","DEF 2000","",""
"Infinity Dark","Unlimited","Card Text This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is face-up on the field, you can Normal Summon it to have it be treated as an Effect Monster with this effect:● When this card declares an attack, you can change the battle position of 1 face-up monster your opponent controls.","Attribute DARK","Level 4","Monster Type Fiend","Card Type Gemini / Effect","ATK 1500","DEF 1200","",""
"Magical Reflect Slime","Unlimited","Card Text This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is face-up on the field, you can Normal Summon it to have it be treated as an Effect Monster with this effect:● Your opponent takes all Battle Damage that you would have taken from a battle involving this card.","Attribute WATER","Level 3","Monster Type Aqua","Card Type Gemini / Effect","ATK 700","DEF 1200","",""
"Ancient Gear Knight","Unlimited","Card Text This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is a Normal Monster on the field, you can Normal Summon it to have it become an Effect Monster with this effect.●If this card attacks, your opponent cannot activate any Spell/Trap Cards until the end of the Damage Step.","Attribute EARTH","Level 4","Monster Type Machine","Card Type Gemini / Effect","ATK 1800","DEF 500","",""
"Goblin Black Ops","Unlimited","Card Text This card can attack your opponent directly. If this card attacks, it is changed to Defense Position at the end of the Battle Phase. This card's battle position cannot be changed until the end of your next turn, except with a card effect.","Attribute DARK","Level 4","Monster Type Beast-Warrior","Card Type Effect","ATK 1300","DEF 0","",""
"Gambler of Legend","Unlimited","Card Text Once per turn, you can toss a coin 3 times and apply the appropriate effect:●3 Heads: Destroy all monsters your opponent controls.●2 Heads: Discard 1 random card from your opponent's hand.●1 Head: Destroy 1 card you control.●3 Tails: Discard your entire hand.","Attribute DARK","Level 4","Monster Type Spellcaster","Card Type Effect","ATK 500","DEF 1400","",""
"Enishi, Shien's Chancellor","Unlimited","Card Text Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by banishing 2 ""Six Samurai"" monsters from your GY. Once per turn: You can target 1 face-up monster; destroy that target. This card cannot attack the turn this effect is activated.","Attribute LIGHT","Level 6","Monster Type Warrior","Card Type Effect","ATK 2200","DEF 1200","",""
"Spirit of the Six Samurai","Unlimited","Card Text Once per turn, you can either: Target 1 face-up ""Six Samurai"" monster you control; equip this card to that target, OR: Unequip this card and Special Summon it in face-up Attack Position. While equipped by this effect, the equipped monster gains 500 ATK and DEF. If the equipped monster destroys an opponent's monster by battle: Draw 1 card. (A monster can only be equipped with 1 Union Monster at a time. If the equipped monster would be destroyed, destroy this card instead.)","Attribute EARTH","Level 3","Monster Type Warrior","Card Type Union / Effect","ATK 500","DEF 500","",""
"Alien Telepath","Unlimited","Card Text Once per turn, you can remove 1 A-Counter from an opponent's monster to destroy 1 Spell or Trap Card. (If a monster with an A-Counter battles an ""Alien"" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.)","Attribute FIRE","Level 4","Monster Type Reptile","Card Type Effect","ATK 1600","DEF 1000","",""
"Alien Hypno","Unlimited","Card Text This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is face-up on the field, you can Normal Summon it to have it be treated as an Effect Monster with this effect:● During your Main Phase, you can select 1 monster your opponent controls with an A-Counter(s), and take control of it while this card is on the field. During each of your End Phases, remove 1 A-Counter from each controlled monster. If all A-Counters are removed from one of these monsters, destroy it.","Attribute WATER","Level 4","Monster Type Reptile","Card Type Gemini / Effect","ATK 1600","DEF 700","",""
"Superalloy Beast Raptinus","Unlimited","Card Text 1 Gemini Monster + 1 Gemini MonsterAll Gemini Monsters on the field are treated as Effect Monsters, and gain their effects.","Attribute LIGHT","Level 8","Monster Type Dragon","Card Type Fusion / Effect","ATK 2200","DEF 2200","",""
"Gladiator Beast Gaiodiaz","Unlimited","Card Text ""Gladiator Beast Spartacus"" + 1 ""Gladiator Beast"" monsterThis card can only be Special Summoned from your Extra Deck, by returning the above cards you control to the Deck. (You do not use ""Polymerization"".) When this card destroys a monster by battle and sends it to the Graveyard, inflict damage to your opponent equal to the DEF of the destroyed monster. At the end of the Battle Phase, if this card attacked or was attacked, you can return it to the Extra Deck to Special Summon 2 ""Gladiator Beast"" monsters from your Deck, except ""Gladiator Beast Spartacus"".","Attribute DARK","Level 7","Monster Type Dinosaur","Card Type Fusion / Effect","ATK 2600","DEF 1500","",""
"Gladiator Beast Heraklinos","Unlimited","Card Text ""Gladiator Beast Laquari"" + 2 ""Gladiator Beast"" monstersMust first be Special Summoned (from your Extra Deck) by shuffling the above cards you control into the Deck. (You do not use ""Polymerization"".) During either player's turn, when a Spell/Trap Card is activated: You can discard 1 card; negate the activation and destroy it. This card must be face-up on the field to activate and to resolve this effect.","Attribute FIRE","Level 8","Monster Type Beast-Warrior","Card Type Fusion / Effect","ATK 3000","DEF 2800","",""
"Fog Control","Unlimited","Card Text Tribute 1 face-up ""Cloudian"" monster you control. Place 3 Fog Counters on 1 face-up monster.","","","","","","","Icon Quick-Play Spell",""
"Cloudian Squall","Unlimited","Card Text During each of your Standby Phases, place 1 Fog Counter on every face-up monster.","","","","","","","Icon Continuous Spell",""
"Super Double Summon","Unlimited","Card Text Select 1 Gemini monster you control and Normal Summon it. During the End Phase of this turn, return it to your hand.","","","","","","","Icon Quick-Play Spell",""
"Colosseum - Cage of the Gladiator Beasts","Unlimited","Card Text Place 1 Counter on this card each time a monster is Special Summoned from either player's Deck. All ""Gladiator Beast"" monsters gain 100 ATK and DEF for each of these counters on this card. If this card would be destroyed by a card effect, you can discard 1 ""Colosseum - Cage of the Gladiator Beasts"" to prevent this card from being destroyed.","","","","","","","Icon Field Spell",""
"Gladiator Beast's Battle Halberd","Unlimited","Card Text Equip only to a ""Gladiator Beast"" monster. When it attacks, destroy 1 Spell or Trap Card at the end of the Damage Step. When the equipped monster is returned from your side of the field to the Deck and this card is sent to the Graveyard, return this card to your hand.","","","","","","","Icon Equip Spell",""
"Gladiator Beast's Battle Gladius","Unlimited","Card Text Equip only to a ""Gladiator Beast"" monster. It gains 300 ATK. When the equipped monster is returned from your side of the field to the Deck and this card is sent to the Graveyard, return this card to your hand.","","","","","","","Icon Equip Spell",""
"Gladiator Beast's Battle Manica","Unlimited","Card Text Equip only to a ""Gladiator Beast"" monster. It cannot be destroyed by battle (Damage calculation is applied normally). When the equipped monster is returned from your side of the field to the Deck and this card is sent to the Graveyard, return this card to your hand.","","","","","","","Icon Equip Spell",""
"Gladiator Beast's Respite","Unlimited","Card Text Shuffle 2 ""Gladiator Beast"" cards from your hand into the Deck, then draw 3 cards.","","","","","","","Icon Normal Spell",""
"Gladiator's Return","Unlimited","Card Text Target 3 ""Gladiator Beast"" cards in your Graveyard; shuffle all 3 targets into the Deck, then draw 1 card.","","","","","","","Icon Normal Spell",""
